category;subcategory;question;level;correct;wrong1;wrong2;wrong3
Film i Telewizja;Komedie Stanisława Barei;Jakiego fikcyjnego klubu sportowego prezesem jest Ryszard Ochódzki w filmie 'Miś'?;łatwe;KS Tęcza;KS Orzeł;KS Polonia;KS Sparta
Film i Telewizja;Komedie Stanisława Barei;Kto gra kultową rolę gospodarza domu, Stanisława Anioła, w serialu 'Alternatywy 4'?;łatwe;Roman Wilhelmi;Stanisław Tym;Janusz Gajos;Bronisław Pawlik
Film i Telewizja;Komedie Stanisława Barei;Z jakiego filmu pochodzi tekst: 'Nie mamy pańskiego płaszcza i co pan nam zrobi?'?;łatwe;Z filmu 'Miś';Z 'Bruneta wieczorową porą';Z 'Co mi zrobisz, jak mnie złapiesz';Z 'Rozmów kontrolowanych'
Film i Telewizja;Komedie Stanisława Barei;Jaki tytuł nosi komedia Barei o historyku sztuki ukrywającym się w przebraniu pomocy domowej?;łatwe;Poszukiwany, poszukiwana;Zmiennicy;Żona dla Australijczyka;Małżeństwo z rozsądku
Film i Telewizja;Komedie Stanisława Barei;Jakim kolorem taksówki jeździł bohater w kultowym serialu 'Zmiennicy'?;łatwe;Żółtym (Polski Fiat 125p);Czerwonym (Polonez);Czarnym (Wołga);Białym (Warszawa)
Film i Telewizja;Nagrody Oscar;Jaki reżyser otrzymał Oscara za polski dramat 'Ida', wybrany najlepszym filmem nieanglojęzycznym?;łatwe;Paweł Pawlikowski;Andrzej Wajda;Roman Polański;Jerzy Skolimowski
Film i Telewizja;Nagrody Oscar;Kto wyreżyserował film 'Lista Schindlera', za który zdobył m.in. Oscara dla Najlepszego Reżysera?;łatwe;Steven Spielberg;Martin Scorsese;Francis Ford Coppola;James Cameron
Film i Telewizja;Nagrody Oscar;Który z tych epickich filmów zdobył historyczny rekord aż 11 Oscarów?;łatwe;Władca Pierścieni: Powrót Króla;Przeminęło z wiatrem;Ojciec Chrzestny;Forrest Gump
Film i Telewizja;Nagrody Oscar;Która legendarna aktorka jest rekordzistką pod względem ilości zdobytych Oscarów za grę aktorską?;łatwe;Katharine Hepburn (4 statuetki);Meryl Streep;Ingrid Bergman;Jane Fonda
Film i Telewizja;Kultowe Polskie Seriale;Jak wabił się słynny owczarek niemiecki z serialu 'Czterej pancerni i pies'?;łatwe;Szarik;Reksio;Cywil;Puszek
Film i Telewizja;Kultowe Polskie Seriale;Który polski aktor wcielał się w rolę brawurowego agenta J-23 (Hansa Klossa)?;łatwe;Stanisław Mikulski;Emil Karewicz;Janusz Gajos;Andrzej Kopiczyński
Film i Telewizja;Kultowe Polskie Seriale;Jak miał na imię inżynier Karwowski, główny bohater popularnego serialu z lat 70.?;łatwe;Stefan;Ryszard;Marian;Andrzej
