Nauka i Odkrycia;Anatomia Człowieka;trudne;Gdzie w ludzkim ciele znajdują się młoteczek, kowadełko i strzemiączko?;W uchu środkowym;W dłoni;W oku;W kręgosłupie
Nauka i Odkrycia;Anatomia Człowieka;trudne;Jak nazywa się białko uwalniane do osocza krwi, które odgrywa kluczową rolę w procesie jej krzepnięcia, tworząc wytrzymałą sieć włóknika?;Fibrynogen;Hemoglobina;Keratyna;Kolagen
Nauka i Odkrycia;Anatomia Człowieka;trudne;Jak nazywa się najdłuższa kość w ludzkim ciele?;Kość udowa;Piszczel;Kość ramienna;Kość promieniowa
Nauka i Odkrycia;Anatomia Człowieka;trudne;Jak nazywa się najdłuższy i najcięższy nerw w ciele człowieka?;Nerw kulszowy;Nerw błędny;Nerw wzrokowy;Nerw udowy
Nauka i Odkrycia;Anatomia Człowieka;trudne;Jak nazywa się najmniejsza kość w ciele człowieka, znajdująca się w uchu środkowym?;Strzemiączko;Kowadełko;Młoteczek;Rzepka
Nauka i Odkrycia;Anatomia Człowieka;trudne;Jak nazywa się największa tętnica w organizmie człowieka?;Aorta;Tętnica szyjna;Tętnica płucna;Tętnica udowa
Nauka i Odkrycia;Anatomia Człowieka;trudne;Jak nazywa się niezwykle ważny, X nerw czaszkowy, który unerwia przywspółczulnie większość narządów klatki piersiowej i jamy brzusznej (np. serce czy żołądek)?;Nerw błędny;Nerw trójdzielny;Nerw twarzowy;Nerw podjęzykowy
Nauka i Odkrycia;Anatomia Człowieka;trudne;Jaka kość jest najdłuższą, największą i najcięższą kością w ludzkim szkielecie?;Kość udowa;Kość piszczelowa;Kość ramienna;Miednica
Nauka i Odkrycia;Anatomia Człowieka;trudne;Jaki niewielki narząd, będący największym elementem układu limfatycznego i leżący pod żebrami, pełni m.in. funkcję "cmentarza" dla starych erytrocytów?;Śledziona;Trzustka;Grasica;Woreczek żółciowy
Nauka i Odkrycia;Anatomia Człowieka;łatwe;Co stanowi najtwardszą, elastyczną strukturę wsporczą ciała, w której ukryty jest rdzeń kręgowy?;Kręgosłup;Klatka piersiowa;Miednica;Czaszka
Nauka i Odkrycia;Anatomia Człowieka;łatwe;Gdzie zlokalizowana jest najgrubsza, najbardziej masywna i najdłuższa kość u dorosłego człowieka?;W udzie (kość udowa);W przedramieniu;W plecach;W obojczyku
Nauka i Odkrycia;Anatomia Człowieka;łatwe;Ile kości posiada zazwyczaj dorosły człowiek?;206;150;300;100
Nauka i Odkrycia;Anatomia Człowieka;łatwe;Jaki narząd w ludzkim ciele odpowiada za nieustanne pompowanie krwi?;Serce;Płuca;Mózg;Wątroba
Nauka i Odkrycia;Anatomia Człowieka;łatwe;Jaki silny mięsień w postaci kopuły bezpośrednio oddziela nasze płuca od jamy brzusznej?;Przepona;Mięsień poprzeczny brzucha;Zwieracz;Krezka
Nauka i Odkrycia;Anatomia Człowieka;łatwe;Jaki specjalny narząd w ciele potrafi stale, miarowo, pompować utlenowaną krew do aorty?;Serce;Wątroba;Płuco;Śledziona
Nauka i Odkrycia;Anatomia Człowieka;łatwe;Który narząd odpowiada za pompowanie krwi w organizmie?;Serce;Płuca;Wątroba;Mózg
Nauka i Odkrycia;Anatomia Człowieka;łatwe;W jakiej solidnej, kostnej puszce skrywa się przed obrażeniami delikatna struktura ludzkiego mózgu?;W mózgoczaszce;W trzewioczaszce;W żuchwie;W kręgach szyjnych
Nauka i Odkrycia;Astronomia i Kosmos;bardzo trudne;Co to jest czarna dziura?;Obszar czasoprzestrzeni o tak silnej grawitacji, że nic nie może go opuścić;Wygasła gwiazda;Cień rzucany przez planetę;Chmura gazu
Nauka i Odkrycia;Astronomia i Kosmos;bardzo trudne;Ile wynosi średnia odległość Ziemi od Słońca (jednostka astronomiczna)?;ok. 150 mln km;ok. 380 tys. km;ok. 1 mld km;ok. 50 mln km
Nauka i Odkrycia;Astronomia i Kosmos;bardzo trudne;Jak nazywa się galaktyka, w której znajduje się Układ Słoneczny?;Droga Mleczna;Andromeda;M81;Sombrero
Nauka i Odkrycia;Astronomia i Kosmos;bardzo trudne;Jak nazywa się pierwszy sztuczny satelita Ziemi wystrzelony w 1957 roku?;Sputnik 1;Vostok 1;Apollo 11;Explorer 1
