category;subcategory;question;level;correct;wrong1;wrong2;wrong3
Historia;Królowie i Książęta Polski;Kto był pierwszym koronowanym królem Polski?;łatwe;Bolesław Chrobry;Mieszko I;Kazimierz Wielki;Władysław Łokietek
Historia;Królowie i Książęta Polski;Który król 'zastał Polskę drewnianą, a zostawił murowaną'?;łatwe;Kazimierz Wielki;Bolesław Śmiały;Jan III Sobieski;Zygmunt Stary
Historia;Królowie i Książęta Polski;W którym roku odbył się chrzest Polski?;łatwe;966 r.;1000 r.;1410 r.;960 r.
Historia;Królowie i Książęta Polski;Kto dowodził wojskami polskimi pod Grunwaldem?;łatwe;Władysław Jagiełło;Zawisza Czarny;Stefan Batory;Jan II Kazimierz
Historia;Królowie i Książęta Polski;Jak miał na imię ostatni król z dynastii Jagiellonów?;łatwe;Zygmunt II August;Zygmunt I Stary;Władysław Warneńczyk;Jan Olbracht
Historia;II Wojna Światowa;Kiedy wybuchła II wojna światowa?;łatwe;1 września 1939 r.;17 września 1939 r.;1 sierpnia 1944 r.;8 maja 1945 r.
Historia;II Wojna Światowa;Jak nazywał się główny polski ruch oporu podczas wojny?;łatwe;Armia Krajowa;Gwardia Ludowa;Szare Szeregi;Bataliony Chłopskie
Historia;II Wojna Światowa;Kto dowodził obroną Westerplatte w pierwszych dniach wojny?;łatwe;Henryk Sucharski;Stefan Starzyński;Władysław Sikorski;Władysław Anders
Historia;II Wojna Światowa;W którym roku wybuchło Powstanie Warszawskie?;łatwe;1944 r.;1943 r.;1939 r.;1945 r.
Historia;II Wojna Światowa;Jakie polskie miasto zostało zbombardowane jako pierwsze?;łatwe;Wieluń;Warszawa;Gdańsk;Poznań
Historia;Polska w czasach PRL;W którym roku wprowadzono stan wojenny w Polsce?;łatwe;1981 r.;1970 r.;1989 r.;1956 r.
Historia;Polska w czasach PRL;Kto stał na czele NSZZ 'Solidarność'?;łatwe;Lech Wałęsa;Wojciech Jaruzelski;Edward Gierek;Władysław Gomułka
Historia;Polska w czasach PRL;Jak nazywał się popularny polski samochód produkowany w FSO?;łatwe;Polonez;Skoda;Dacia;Łada
Historia;Polska w czasach PRL;Który papież odwiedził Polskę podczas pierwszej pielgrzymki w 1979 r.?;łatwe;Jan Paweł II;Paweł VI;Benedykt XVI;Jan Paweł I
Historia;Polska w czasach PRL;Czym płacono za zachodnie towary w sklepach Pewex?;łatwe;Bonami towarowymi;Złotówkami;Markami;Kartkami żywnościowymi
Historia;Powstania Narodowe;W którym roku wybuchło powstanie listopadowe?;łatwe;1830 r.;1863 r.;1794 r.;1944 r.
Historia;Powstania Narodowe;Kto był Najwyższym Naczelnikiem powstania w 1794 roku?;łatwe;Tadeusz Kościuszko;Romuald Traugutt;Józef Piłsudski;Piotr Wysocki
Historia;Powstania Narodowe;Które polskie powstanie zakończyło się pełnym zwycięstwem?;łatwe;Powstanie wielkopolskie;Powstanie styczniowe;Powstanie listopadowe;Powstanie warszawskie
Historia;Powstania Narodowe;Przeciwko jakiemu państwu wybuchło powstanie styczniowe?;łatwe;Imperium Rosyjskiemu;Królestwu Prus;Cesarstwu Austrii;Królestwu Szwecji
Historia;Powstania Narodowe;Kto był ostatnim dyktatorem powstania styczniowego?;łatwe;Romuald Traugutt;Tadeusz Kościuszko;Marian Langiewicz;Ludwik Mierosławski
Historia;Starożytność i Egipt;Jak nazywano absolutnych władców starożytnego Egiptu?;łatwe;Faraon;Cesarz;Król;Sułtan
Historia;Starożytność i Egipt;Jaka rzeka była kluczowa dla rozwoju rolnictwa w starożytnym Egipcie?;łatwe;Nil;Tygrys;Eufrat;Jordan
Historia;Starożytność i Egipt;Gdzie znajdują się najsłynniejsze i największe piramidy?;łatwe;W Gizie;W Luksorze;W Aleksandrii;W Tebach
Historia;Starożytność i Egipt;Który młody faraon słynie ze słynnej złotej maski grobowej?;łatwe;Tutanchamon;Ramzes II;Cheops;Echnaton
Historia;Starożytność i Egipt;Jaki innowacyjny materiał pisarski wynaleźli starożytni Egipcjanie?;łatwe;Papirus;Pergamin;Papier;Gliniane tabliczki
Historia;Średniowiecze Europy;Kto został koronowany na cesarza rzymskiego w 800 roku?;łatwe;Karol Wielki;Otton I;Mieszko I;Ryszard Lwie Serce
Historia;Średniowiecze Europy;Jak nazywały się wyprawy zbrojne organizowane do Ziemi Świętej?;łatwe;Krucjaty;Pielgrzymki;Konkwisty;Rekonkwisty
Historia;Średniowiecze Europy;Jaka niszczycielska epidemia zdziesiątkowała Europę w XIV wieku?;łatwe;Czarna śmierć (dżuma);Hiszpanka;Cholera;Ospa prawdziwa
Historia;Średniowiecze Europy;W jakim stylu architektonicznym budowano strzeliste katedry z witrażami?;łatwe;Gotyckim;Romańskim;Barokowym;Renesansowym
Historia;Średniowiecze Europy;Kto założył znany zakon żebraczy w Asyżu?;łatwe;Św. Franciszek;Św. Dominik;Św. Benedykt;Św. Ignacy Loyola
Historia;Wielkie Odkrycia Geograficzne;Kto oficjalnie odkrył Amerykę w 1492 roku?;łatwe;Krzysztof Kolumb;Vasco da Gama;Ferdynand Magellan;Marco Polo
Historia;Wielkie Odkrycia Geograficzne;Który żeglarz jako pierwszy dopłynął drogą morską z Europy do Indii?;łatwe;Vasco da Gama;Bartłomiej Diaz;James Cook;Amerigo Vespucci
Historia;Wielkie Odkrycia Geograficzne;Czyja ekspedycja jako pierwsza opłynęła Ziemię dookoła?;łatwe;Ferdynanda Magellana;Krzysztofa Kolumba;Francisa Drake'a;Wikingów
Historia;Wielkie Odkrycia Geograficzne;Jaki kraj europejski jako pierwszy zainicjował erę wielkich odkryć?;łatwe;Portugalia;Hiszpania;Anglia;Francja
Historia;Wielkie Odkrycia Geograficzne;Jaki kontynent został odkryty i zbadany przez Jamesa Cooka?;łatwe;Australia;Antarktyda;Ameryka Północna;Azja
