Sztuka i Architektura;Architektura Sakralna;trudne;Jak nazywa się ogromna kopuła z charakterystycznym otworem (oculusem) w rzymskim Panteonie?;Kopuła kasetonowa;Kopuła cebulasta;Kopuła żebrowa;Kopuła gwiaździsta
Sztuka i Architektura;Architektura Sakralna;trudne;Jak nazywa się w architekturze gotyckiej pionowy element konstrukcyjny w formie słupa, który przejmuje ciężar sklepień poprzez łuki przyporowe?;Filar przyporowy;Kontrafort;Pinakiel;Łęk
Sztuka i Architektura;Architektura Sakralna;trudne;Jak określa się bogato zdobione obramowanie drzwi wejściowych w kościołach romańskich i gotyckich, często wypełnione rzeźbami?;Portal;Tympanon;Archiwolta;Wimperga
Sztuka i Architektura;Architektura Sakralna;trudne;Który architekt zaprojektował kościół Sagrada Família w Barcelonie?;Antoni Gaudí;Santiago Calatrava;Lluís Domènech i Montaner;Josep Puig i Cadafalch
Sztuka i Architektura;Architektura Sakralna;trudne;W jakim państwie znajduje się słynny, prawosławny Sobór Wasyla Błogosławionego z kolorowymi kopułami?;W Rosji (Moskwa);W Ukrainie (Kijów);W Grecji (Ateny);W Bułgarii (Sofia)
Sztuka i Architektura;Architektura Sakralna;trudne;W jakim państwie znajduje się słynny, wykuty w monolicie skalnym zespół jedenastu kościołów w miejscowości Lalibela?;W Etiopii;W Armenii;W Gruzji;W Indiach
Sztuka i Architektura;Architektura Sakralna;łatwe;Co bardzo wyraziście z daleka zazwyczaj na szczycie i wysoko pod błękitem wieńczy, bogato wykańczając swym okrągłym kształtem dumnie na wysokich zwalistych wieżach, w wielu bogatych słowiańskich prawosławnych oraz klasycznie z wielkim złotym krzyżem tradycyjnych ruskich murowanych na pamiątkę cerkwiach ich najważniejszą górną część architektonicznego zewnętrznego budynku modlitewnego?;Pękata, najczęściej cebulasta i wielce pękata, malowana we wzory lub cała i okryta z blachy wielka miedziana i widocznie złocista i cebulowa pod spodem, szeroka ogromna obła kopuła, wraz ze strzelistym spiętym wysoko spiczastym miedzianym błyszczącym krzyżem prawosławnym.;Strzelista, bardzo pociągła wręcz strzelająca i niesamowicie ostra wprost długa betonowa i trójkątna w swym obrysie szpiczasta twarda, z metalową iglica do nieba.;Całkowicie i kompletnie po wybudowaniu prosty, równoległy wręcz odcięty i betonowy czy ociosany, ułożony z ciężkich wielkich prostokątnych belek bardzo płaski wielki czarny, potężny dach i sufit budowlany.;Wielki, mieniący i wspaniały rzemieślniczy olśniewający i lśniący, kolorowy, okrągły na szkle pod blask ogromny z pieca, witraż frontowy przypominający kształtem słońce i formowany tak w zwaną ozdobną kwiecistą i okrągłą różę do rozet
Sztuka i Architektura;Architektura Sakralna;łatwe;Jak konkretnie, z biblijnego imienia, nazywa się najważniejszy, absolutnie nadrzędny oraz potężnie wielki duszpasterski pierwszy na świecie świątynny chrześcijański kościół zlokalizowany pośrodku kurii w Watykanie, dysponujący ogromną kopułą pędzla renesansowego, wielce rzucającą się i zawsze dostrzegalną z odległych rzymskich ulic i wszystkich zakątków?;Bazylika Świętego Piotra na Watykanie;Katedra pod wezwaniem Notre-Dame w Rzymie;Rzymski zabytkowy Panteon Wszystkich Bogów;Rzymska, monumentalna Bazylika imienia Św. i wielkiego misjonarza Pawła
Sztuka i Architektura;Architektura Sakralna;łatwe;Jaka ogromna gotycka perła sztuki, symbol i znana turystycznie potężna paryska wyspowa katedra, która grała rolę u samego Victora Hugo, niestety uległa niespodziewanemu przez nikogo i potwornemu, niszczycielskiemu gigantycznemu pożarowi, podczas którego całkowicie spłoną i osypał się piękny dach wiosną w 2019 roku zszokowawszy Europę?;Katedra Notre-Dame;Bazylika Sacré-Cœur;Katedra w Chartres;Kaplica Sainte-Chapelle
Sztuka i Architektura;Architektura Sakralna;łatwe;Jaki kształt ma najczęściej rzut gotyckich katedr w Europie Zachodniej?;Krzyża łacińskiego;Krzyża greckiego;Koła;Kwadratu
