category;subcategory;question;level;correct;wrong1;wrong2;wrong3
Społeczeństwo i Prawo;Konstytucja RP;W którym roku uchwalono obowiązującą obecnie Konstytucję Rzeczypospolitej Polskiej?;łatwe;W 1997 roku;W 1989 roku;W 1992 roku;W 2004 roku
Społeczeństwo i Prawo;Konstytucja RP;Jak określa się uroczysty, poetycki i ważny wstęp do Konstytucji, wyjaśniający jej powody powstania?;łatwe;Preambuła;Epilog;Inwokacja;Postulat
Społeczeństwo i Prawo;Konstytucja RP;Na jakim fundamentalnym podziale opiera się ustrój państwa polskiego według Konstytucji?;łatwe;Na trójpodziale władzy;Na władzy absolutnej;Na systemie dwupartyjnym;Na dwupodziale władzy
Społeczeństwo i Prawo;Konstytucja RP;Jak nazywa się najwyższy akt prawny w państwie, nazywany 'ustawą zasadniczą'?;łatwe;Konstytucja;Kodeks Karny;Ustawa Sejmowa;Dekret
Społeczeństwo i Prawo;Konstytucja RP;Ilu dokładnie posłów zgodnie z Konstytucją zasiada zawsze w polskim Sejmie?;łatwe;460 posłów;100 posłów;300 posłów;560 posłów
Społeczeństwo i Prawo;Unia Europejska;W którym roku Polska formalnie i oficjalnie stała się pełnoprawnym państwem członkowskim Unii Europejskiej?;łatwe;W 2004 roku;W 1999 roku;W 2007 roku;W 1989 roku
Społeczeństwo i Prawo;Unia Europejska;Które belgijskie miasto bywa powszechnie i potocznie nazywane nieformalną 'stolicą' Unii Europejskiej?;łatwe;Bruksela;Brugia;Antwerpia;Genewa
Społeczeństwo i Prawo;Unia Europejska;Jakie porozumienie z 1985 roku znosi na co dzień fizyczne kontrole graniczne w większości Europy?;łatwe;Układ z Schengen;Traktat Lizboński;Pakt Północnoatlantycki;Traktat Wersalski
Społeczeństwo i Prawo;Unia Europejska;Jaka wspólna waluta europejska obowiązuje dziś w większości państw członkowskich Unii (Strefa...)?;łatwe;Euro;Dolar;Funt;Frank
Społeczeństwo i Prawo;Unia Europejska;Jakie ciało ustawodawcze Unii wybierane jest w bezpośrednich wyborach co 5 lat przez obywateli państw?;łatwe;Parlament Europejski;Komisja Europejska;Rada Europejska;Trybunał Sprawiedliwości UE
Społeczeństwo i Prawo;Systemy Polityczne;W jakim współczesnym systemie politycznym to obywatele mają realny i największy wpływ na władzę w państwie?;łatwe;W demokracji;W monarchii absolutnej;W totalitaryzmie;W autorytaryzmie
Społeczeństwo i Prawo;Systemy Polityczne;Jak nazywa się państwo, w którym głową państwa jest dożywotni, zazwyczaj dziedziczny król lub cesarz?;łatwe;Monarchia;Republika;Federacja;Demokracja
Społeczeństwo i Prawo;Systemy Polityczne;Z greckiego, jak dosłownie tłumaczy się słowo 'demokracja'?;łatwe;Władza ludu;Władza mędrców;Władza najbogatszych;Władza siły
Społeczeństwo i Prawo;Systemy Polityczne;Jak nazywamy skrajnie opresyjny ustrój (jak u Stalina), w którym państwo kontroluje całkowicie życie obywateli?;łatwe;Totalitaryzm;Anarchia;Monarchia parlamentarna;Teokracja
Społeczeństwo i Prawo;Systemy Polityczne;Jaki ustrój religijny panuje np. w Watykanie, gdzie najwyższą władzę pełni przywódca duchowy/religijny?;łatwe;Teokracja;Republika;Plutokracja;Oligarchia
Społeczeństwo i Prawo;Władza w Polsce;Kto w Polsce stanowi Władzę Ustawodawczą i podejmuje decyzje o nowych prawach w kraju?;łatwe;Sejm i Senat;Prezydent RP;Rada Ministrów i Premier;Sąd Najwyższy
Społeczeństwo i Prawo;Władza w Polsce;Jakie weto wobec przegłosowanej przez sejm ustawy posiada z ramienia konstytucji Prezydent RP?;łatwe;Weto prezydenckie (ustawodawcze);Weto absolutne;Liberum Veto;Weto ludowe
Społeczeństwo i Prawo;Władza w Polsce;Kto kieruje na co dzień pracami całej polskiej Rady Ministrów (Rządu) i koordynuje prace poszczególnych ministrów?;łatwe;Prezes Rady Ministrów (Premier);Prezydent RP;Marszałek Sejmu;Prezes Najwyższej Izby Kontroli
Społeczeństwo i Prawo;Władza w Polsce;Kto zgodnie z konstytucją zastępuje Prezydenta RP w razie jego śmierci lub niezdolności do pełnienia urzędu?;łatwe;Marszałek Sejmu;Premier;Marszałek Senatu;Pierwszy Prezes Sądu Najwyższego
Społeczeństwo i Prawo;Władza w Polsce;Ilu dokładnie senatorów liczy wyższa izba polskiego parlamentu - Senat?;łatwe;100 senatorów;460 senatorów;50 senatorów;300 senatorów
Społeczeństwo i Prawo;Prawa Człowieka;Jaki przełomowy dokument przyjęło Zgromadzenie Ogólne ONZ w 1948 r. w Paryżu w odpowiedzi na II Wojnę?;łatwe;Powszechną Deklarację Praw Człowieka;Deklarację Niepodległości;Deklarację Praw Dziecka;Konwencję Genewską
Społeczeństwo i Prawo;Prawa Człowieka;Skrót z jakiej nazwy organu działającego w Polsce, broniącego wolności obywatela przed państwem, to RPO?;łatwe;Rzecznik Praw Obywatelskich;Rada Praw Osądzonych;Rejonowy Prokurator Okręgowy;Rzecznik Praw Ojca
Społeczeństwo i Prawo;Prawa Człowieka;Jak nazywa się wielka międzynarodowa organizacja pozarządowa, słynąca z obrony więźniów sumienia?;łatwe;Amnesty International;Greenpeace;Czerwony Krzyż;UNICEF
Społeczeństwo i Prawo;Prawa Człowieka;W jakim znanym francuskim mieście we wschodniej części kraju mieści się Europejski Trybunał Praw Człowieka?;łatwe;W Strasburgu;W Paryżu;W Lyonie;W Marsylii
Społeczeństwo i Prawo;Prawa Człowieka;Jakie fundamentalne prawo każdego z nas widnieje na samym szczycie we wszystkich umowach międzynarodowych?;łatwe;Prawo do życia;Prawo do własności;Prawo do pracy;Prawo do rozrywki
Społeczeństwo i Prawo;Podatki i Finanse;Co oznacza w Polsce powszechny skrót PIT w odniesieniu do corocznego rozliczania się z urzędem?;łatwe;Podatek dochodowy od osób fizycznych;Podatek od towarów i usług;Podatek od nieruchomości;Państwowy Instytut Transakcji
Społeczeństwo i Prawo;Podatki i Finanse;Jak nazywa się pośredni podatek nałożony w sklepie na każdy produkt i usługę w Polsce?;łatwe;Podatek VAT;Podatek PIT;Podatek CIT;Podatek akcyzowy
Społeczeństwo i Prawo;Podatki i Finanse;Która państwowa instytucja w Polsce odpowiada za emisję naszych banknotów oraz bilonu?;łatwe;Narodowy Bank Polski (NBP);Mennica Polska;Ministerstwo Finansów;Polska Wytwórnia Papierów Wartościowych
Społeczeństwo i Prawo;Podatki i Finanse;Jakim terminem makroekonomicznym w gospodarce nazywamy ogólny, stały wzrost cen towarów na rynku?;łatwe;Inflacją;Deflacją;Hossą;Recesją
Społeczeństwo i Prawo;Podatki i Finanse;Na jakie szkodliwe lub luksusowe towary nałożony jest w Polsce wysoki, specjalny podatek zwany akcyzą?;łatwe;Na alkohol, papierosy i paliwa;Na leki i wyroby medyczne;Na książki i gazety;Na chleb i nabiał
