category;subcategory;question;level;correct;wrong1;wrong2;wrong3
Motoryzacja i Transport;Marki Samochodów;Jaka legendarna, włoska marka samochodów sportowych ma w swoim żółtym logo czarnego, wierzgającego na tylnych nogach konia?;łatwe;Ferrari;Porsche;Lamborghini;Maserati
Motoryzacja i Transport;Marki Samochodów;Logo jakiego uznanego producenta z Niemiec składa się z czterech, zachodzących na siebie metalowych pierścieni?;łatwe;Audi;BMW;Mercedes-Benz;Volkswagen
Motoryzacja i Transport;Marki Samochodów;Jaka potężna japońska marka znana jest na całym świecie m.in z produkcji niezniszczalnej Corolli oraz hybrydowego Priusa?;łatwe;Toyota;Honda;Mazda;Nissan
Motoryzacja i Transport;Marki Samochodów;Z czego wywodzi się biało-niebieska kolorystyka charakterystycznego, okrągłego logo (szachownicy/śmigła) marki BMW?;łatwe;Z barw flagi Bawarii;Z barw narodowych Niemiec;Z nieba i białych chmur;Od koloru mundurów lotniczych
Motoryzacja i Transport;Marki Samochodów;Na masce jakich eleganckich i luksusowych, często państwowych limuzyn z Niemiec widnieje charakterystyczna trójramienna gwiazda?;łatwe;Na autach Mercedes-Benz;Na autach Audi;Na autach Maybach;Na autach Bentley
Motoryzacja i Transport;Historia Motoryzacji;Kto zrewolucjonizował świat, wprowadzając Model T i uruchamiając na masową skalę w USA pierwszą linię montażową?;łatwe;Henry Ford;Karl Benz;Gottlieb Daimler;Enzo Ferrari
Motoryzacja i Transport;Historia Motoryzacji;Kto pod koniec XIX wieku w Niemczech zbudował trójkołowy wehikuł z silnikiem spalinowym, powszechnie uznany za pierwszy automobil w historii?;łatwe;Karl Benz;Henry Ford;Ferdinand Porsche;Nikolaus Otto
Motoryzacja i Transport;Historia Motoryzacji;Jaki niemiecki samochód 'dla ludu', o bardzo zaokrąglonym kształcie, produkowany od lat 30., pobił wiele światowych rekordów sprzedaży?;łatwe;Volkswagen Garbus (Beetle);Volkswagen Golf;Porsche 911;Trabant
Motoryzacja i Transport;Historia Motoryzacji;Jaki legendarny w Polsce, bardzo mały i ciasny samochód o kwadratowych rysach masowo zmotoryzował Polskę z początkiem lat 70.?;łatwe;Fiat 126p (Maluch);FSO Polonez;Syrena 105;Fiat 125p (Duży Fiat)
Motoryzacja i Transport;Historia Motoryzacji;Jaki sportowy, amerykański samochód z podnoszonymi do góry drzwiami stał się kultowym wehikułem czasu w filmie 'Powrót do przyszłości'?;łatwe;DeLorean DMC-12;Pontiac Firebird;Ford Mustang;Chevrolet Corvette
Motoryzacja i Transport;Budowa Samochodu;Jaki bardzo widoczny element tuż za atrapą z przodu auta, wykorzystując opływające ją powietrze, chroni płyn i silnik przed przegrzaniem?;łatwe;Chłodnica;Alternator;Miska olejowa;Skrzynia biegów
Motoryzacja i Transport;Budowa Samochodu;Co odpowiada za magazynowanie w samochodzie energii elektrycznej, umożliwiając m.in. rozruch silnika, gdy auto jest wyłączone?;łatwe;Akumulator;Prądnica;Kondensator;Bezpiecznik
Motoryzacja i Transport;Budowa Samochodu;W jaki specjalistyczny element wyposażony jest tradycyjny silnik benzynowy, aby wygenerować przeskok iskry i zainicjować zapłon mieszanki?;łatwe;W świecę zapłonową;W świecę żarową;W wtryskiwacz paliwa;W przepustnicę
Motoryzacja i Transport;Budowa Samochodu;Jak nazywa się prądnica w samochodzie, która jest napędzana paskiem i podczas jazdy ładuje akumulator?;łatwe;Alternator;Rozrusznik;Turbosprężarka;Rozdzielacz zapłonu
Motoryzacja i Transport;Budowa Samochodu;Jaki mechanizm w układzie napędowym pozwala na zmianę przełożenia, decydując o sile i prędkości przekazywanej na koła?;łatwe;Skrzynia biegów;Mechanizm różnicowy;Wał Kardana;Sprzęgło
Motoryzacja i Transport;Przepisy Drogowe;Jaki wyjątkowy, czerwony znak drogowy jako jedyny w Europie posiada unikalny kształt ośmiokąta?;łatwe;Znak STOP;Znak Ustąp pierwszeństwa;Znak Droga z pierwszeństwem;Znak Zakaz wjazdu
Motoryzacja i Transport;Przepisy Drogowe;Jak w przepisach określa się skrzyżowanie z wyspą pośrodku, na którym ruch odbywa się jednokierunkowo, najczęściej przeciwnie do wskazówek zegara?;łatwe;Skrzyżowanie o ruchu okrężnym (Rondo);Skrzyżowanie równorzędne;Węzeł drogowy;Skrzyżowanie bezkolizyjne
Motoryzacja i Transport;Przepisy Drogowe;Jaka naczelna zasada pierwszeństwa obowiązuje w Polsce na skrzyżowaniu dróg równorzędnych (bez znaków)?;łatwe;Zasada prawej ręki (pierwszeństwo ma nadjeżdżający z prawej);Zasada dłuższego pojazdu;Zasada pierwszeństwa na drodze szerszej;Zasada jazdy na wprost
Motoryzacja i Transport;Przepisy Drogowe;Jaki jest dopuszczalny limit stężenia alkoholu we krwi u kierowcy prowadzącego pojazd w Polsce?;łatwe;Do 0,2 promila;Do 0,5 promila;Całkowite 0,0 promila;Do 0,8 promila
