Rozrywka i Popkultura;Anime i Manga;trudne;Jak nazywa się główny bohater mangi i anime "Naruto", który marzy o zostaniu Hokage swojej wioski?;Naruto Uzumaki;Sasuke Uchiha;Ichigo Kurosaki;Goku
Rozrywka i Popkultura;Anime i Manga;trudne;Jak nazywa się japońskie studio animacji założone przez Hayao Miyazakiego?;Studio Ghibli;Madhouse;Sunrise;Toei Animation
Rozrywka i Popkultura;Anime i Manga;trudne;Jak nazywa się potężny notes, który pozwala zabić osobę, której nazwisko zostanie w nim zapisane?;Death Note;Life Book;Kill Journal;Shadow Diary
Rozrywka i Popkultura;Anime i Manga;trudne;Jak nazywa się potężny, dziewięcioogoniasty demon zapieczętowany wewnątrz ciała głównego bohatera mangi Masashiego Kishimoto?;Kurama (Kyuubi);Gyuki;Shukaku;Matatabi
Rozrywka i Popkultura;Anime i Manga;trudne;Kto jest autorem legendarnej, pirackiej mangi "One Piece", opowiadającej o przygodach Monkey D. Luffy'ego?;Eiichiro Oda;Akira Toriyama;Masashi Kishimoto;Hajime Isayama
Rozrywka i Popkultura;Anime i Manga;trudne;Kto jest twórcą legendarnej serii "Dragon Ball", która stała się fundamentem dla nowoczesnego gatunku shounen?;Akira Toriyama;Eiichiro Oda;Tite Kubo;Yoshihiro Togashi
Rozrywka i Popkultura;Anime i Manga;trudne;Kto jest twórcą mangi i anime "Naruto"?;Masashi Kishimoto;Akira Toriyama;Eiichiro Oda;Tite Kubo
Rozrywka i Popkultura;Anime i Manga;trudne;W jakiej kultowej, cyberpunkowej mandze (i filmie) z 1988 roku akcja toczy się w zniszczonym i odrodzonym Neo-Tokio?;Akira;Ghost in the Shell;Evangelion;Cowboy Bebop
Rozrywka i Popkultura;Anime i Manga;trudne;W którym roku Osamu Tezuka opublikował pierwszy rozdział mangi 'Tetsuwan Atom' (Astro Boy) na łamach japońskiego pisma Shōnen?;1952;1948;1960;1955
Rozrywka i Popkultura;Anime i Manga;łatwe;Jak miał na imię główny, niesamowicie silny bohater z ogonem, walczący w obronie Ziemi w kultowym anime 'Dragon Ball'?;Son Goku;Vegeta;Naruto Uzumaki;Ichigo Kurosaki
Rozrywka i Popkultura;Anime i Manga;łatwe;Jak nazywa się główny bohater serii "Dragon Ball"?;Son Goku;Naruto Uzumaki;Monkey D. Luffy;Ichigo Kurosaki
Rozrywka i Popkultura;Anime i Manga;łatwe;Jak nazywa się japoński styl komiksu, czytanego tradycyjnie od strony prawej do lewej?;Manga;Anime;Origami;Sudoku
Rozrywka i Popkultura;Anime i Manga;łatwe;Która japońska superbohaterka w marynarskim mundurku, wraz z innymi wojowniczkami, walczyła o dobro wszechświata?;Czarodziejka z Księżyca (Sailor Moon);Cardcaptor Sakura;Evangelion;Miku Hatsune
Rozrywka i Popkultura;Anime i Manga;łatwe;Które słynne japońskie studio animacyjne (założone m.in. przez Hayao Miyazakiego) stworzyło oscarowe 'Spirited Away: W krainie bogów'?;Studio Ghibli;Toei Animation;Madhouse;Bones
Rozrywka i Popkultura;Anime i Manga;łatwe;O kim marzył zostać tytułowy bohater w pomarańczowym dresie, z wioski Ukrytego Liścia w anime 'Naruto'?;Chciał zostać Hokage (przywódcą wioski);Chciał zostać Królem Piratów;Chciał zostać Mistrzem Pokémon;Chciał zostać Władcą Demonów
Rozrywka i Popkultura;Anime i Manga;łatwe;Z jakiego kraju wywodzi się sztuka komiksu zwana mangą?;Z Japonii;Z Chin;Z Korei Południowej;Z Tajlandii
Rozrywka i Popkultura;Anime i Manga;łatwe;Z jakiej znanej japońskiej serii wywodzi się mały, żółty i uroczy, strzelający prądem stworek Pikachu?;Z Pokémonów;Z Digimonów;Z Dragon Balla;Z Czarodziejki z Księżyca
Rozrywka i Popkultura;Festiwale Muzyczne;trudne;Jak nazywa się kalifornijski festiwal muzyki i sztuki, słynący z obecności celebrytów, odbywający się na pustyni Colorado w Indio?;Coachella;Burning Man;Lollapalooza;Bonnaroo
Rozrywka i Popkultura;Festiwale Muzyczne;trudne;W jakim europejskim kraju odbywa się słynny, gigantyczny festiwal muzyki elektronicznej Tomorrowland?;W Belgii;W Holandii;W Niemczech;W Wielkiej Brytanii
Rozrywka i Popkultura;Festiwale Muzyczne;trudne;W jakim europejskim państwie (w miejscowości Pilton) odbywa się jeden z najstarszych i najbardziej prestiżowych festiwali muzycznych świata – Glastonbury?;W Wielkiej Brytanii;W Irlandii;W Niemczech;W Holandii
Rozrywka i Popkultura;Festiwale Muzyczne;trudne;W jakim polskim nadmorskim mieście odbywa się co roku jeden z największych festiwali, Open'er Festival?;W Gdyni;W Sopocie;W Gdańsku;W Kołobrzegu
Rozrywka i Popkultura;Festiwale Muzyczne;trudne;W którym angielskim hrabstwie (county) odbywa się coroczny festiwal Glastonbury?;Somerset;Devon;Wiltshire;Dorset
Rozrywka i Popkultura;Festiwale Muzyczne;trudne;Z jakiego miasta do Kostrzyna nad Odrą (a później na Lotnisko Czaplinek-Broczyno) przeniósł się największy polski festiwal – Przystanek Woodstock (obecnie Pol'and'Rock)?;Z Żar;Ze Szczecina;Z Gorzowa Wielkopolskiego;Z Wrocławia
Rozrywka i Popkultura;Festiwale Muzyczne;łatwe;Jak nazywa się ogromny, niezwykle medialny i designerski festiwal muzyczny odbywający się co roku w kalifornijskiej dolinie (USA)?;Coachella;Tomorrowland;Burning Man;Sziget
Rozrywka i Popkultura;Festiwale Muzyczne;łatwe;Jaki słynny amerykański festiwal muzyczny z 1969 roku stał się globalnym symbolem ruchu hipisowskiego?;Woodstock;Coachella;Glastonbury;Tomorrowland
Rozrywka i Popkultura;Festiwale Muzyczne;łatwe;Jaki słynny festiwal z 1969 roku w USA przeszedł do legendy jako symbol buntu, ruchu hipisowskiego i pokoju na świecie?;Woodstock;Coachella;Glastonbury;Lollapalooza
Rozrywka i Popkultura;Festiwale Muzyczne;łatwe;Jaki wielki, plenerowy festiwal muzyczny rokrocznie przyciąga w lipcu tłumy fanów na lotnisko Kosakowo w Gdyni?;Open'er Festival;OFF Festival;Orange Warsaw Festival;Kraków Live Festival
Rozrywka i Popkultura;Festiwale Muzyczne;łatwe;Który belgijski festiwal muzyki elektronicznej (EDM) słynie z iście bajkowych, gigantycznych dekoracji i wielkich fajerwerków?;Tomorrowland;Ultra Music Festival;Creamfields;Awakenings
Rozrywka i Popkultura;Festiwale Muzyczne;łatwe;Pod jaką obecną nazwą funkcjonuje dziś darmowy, potężny polski festiwal Jurka Owsiaka, znany przez lata jako Przystanek Woodstock?;Pol'and'Rock Festival;Rock in Poland;Jarocin Festiwal;Wielka Orkiestra Świątecznej Pomocy Fest
Rozrywka i Popkultura;Gry Planszowe i Karciane;trudne;Jak brzmi oficjalna, turniejowa nazwa najsilniejszej figury w szachach, która może poruszać się o dowolną liczbę pól w pionie, poziomie i na skos?;Hetman (Dama);Wieża;Goniec;Skoczek
