category;subcategory;question;level;correct;wrong1;wrong2;wrong3
Geografia i Turystyka;Stolice Świata;Jakie miasto jest oficjalną stolicą Australii?;łatwe;Canberra;Sydney;Melbourne;Perth
Geografia i Turystyka;Stolice Świata;W jakiej europejskiej stolicy znajduje się słynny Akropol?;łatwe;W Atenach;W Rzymie;W Madrycie;W Paryżu
Geografia i Turystyka;Stolice Świata;Jakie państwo z Ameryki Północnej ma swoją stolicę w Ottawie?;łatwe;Kanada;Stany Zjednoczone;Meksyk;Kuba
Geografia i Turystyka;Stolice Świata;Stolicą jakiego południowoamerykańskiego kraju jest Buenos Aires?;łatwe;Argentyny;Brazylii;Chile;Peru
Geografia i Turystyka;Stolice Świata;W jakim azjatyckim mieście mieści się Pałac Cesarski i dzielnica Shibuya?;łatwe;W Tokio;W Pekinie;W Seulu;W Bangkoku
Geografia i Turystyka;Tatry i Podhale;Jaki jest najwyższy szczyt znajdujący się całkowicie w polskich Tatrach?;łatwe;Kozi Wierch;Giewont;Rysy;Kasprowy Wierch
Geografia i Turystyka;Tatry i Podhale;Jak nazywa się największe jezioro w Tatrach?;łatwe;Morskie Oko;Czarny Staw;Wielki Staw Polski;Smreczyński Staw
Geografia i Turystyka;Tatry i Podhale;Jak zwie się tradycyjny wędzony ser z owczego mleka wyrabiany na Podhalu?;łatwe;Oscypek;Bryndza;Bundz;Gouda
Geografia i Turystyka;Tatry i Podhale;Jak ma na imię słynny śpiący rycerz, którego kształt przypomina znany tatrzański szczyt?;łatwe;Giewont;Mnich;Zawrat;Gubałówka
Geografia i Turystyka;Tatry i Podhale;Która dolina jest najdłuższą doliną w polskich Tatrach?;łatwe;Dolina Chochołowska;Dolina Kościeliska;Dolina Pięciu Stawów;Dolina Rybiego Potoku
Geografia i Turystyka;Rzeki i Jeziora Polski;Jaka jest najdłuższa rzeka przepływająca w całości przez Polskę?;łatwe;Wisła;Odra;Warta;Bug
Geografia i Turystyka;Rzeki i Jeziora Polski;Które polskie jezioro szczyci się mianem najgłębszego?;łatwe;Hańcza;Śniardwy;Mamry;Morskie Oko
Geografia i Turystyka;Rzeki i Jeziora Polski;Przez które z podanych miast NIE przepływa rzeka Wisła?;łatwe;Poznań;Kraków;Warszawa;Toruń
Geografia i Turystyka;Rzeki i Jeziora Polski;W jakim województwie leży największe jezioro w Polsce - Śniardwy?;łatwe;Warmińsko-mazurskim;Podlaskim;Pomorskim;Zachodniopomorskim
Geografia i Turystyka;Rzeki i Jeziora Polski;Do jakiego akwenu uchodzi rzeka Odra?;łatwe;Do Zalewu Szczecińskiego;Do Zatoki Gdańskiej;Bezpośrednio do Bałtyku;Do Zalewu Wiślanego
Geografia i Turystyka;Flagi i Hymny;Jakie dwa kolory tworzą flagę Ukrainy?;łatwe;Niebieski i żółty;Biały i czerwony;Zielony i biały;Czerwony i czarny
Geografia i Turystyka;Flagi i Hymny;Jak brzmi pełny, oficjalny tytuł polskiego hymnu narodowego?;łatwe;Mazurek Dąbrowskiego;Rota;Jeszcze Polska nie zginęła;Bogurodzica
Geografia i Turystyka;Flagi i Hymny;Które państwo ma na swojej fladze czerwone koło na białym tle, symbolizujące słońce?;łatwe;Japonia;Chiny;Korea Południowa;Bangladesz
Geografia i Turystyka;Flagi i Hymny;Flaga jakiego państwa wygląda identycznie jak polska, ale jest odwrócona do góry nogami?;łatwe;Monako;Szwajcarii;Czech;Malty
Geografia i Turystyka;Flagi i Hymny;Który ptak z głową zwróconą w prawo jest oficjalnym godłem Rzeczypospolitej Polskiej?;łatwe;Orzeł biały;Sokół wędrowny;Bocian;Jastrząb
Geografia i Turystyka;Polskie Wybrzeże;Nad jakim morzem leży północna granica Polski?;łatwe;Nad Morzem Bałtyckim;Nad Morzem Północnym;Nad Morzem Czarnym;Nad Morzem Śródziemnym
