category;subcategory;question;level;correct;wrong1;wrong2;wrong3
Tradycje i Religie;Święta Bożego Narodzenia;Zgodnie z piękną, polską tradycją kulinarną, ile bezmięsnych potraw powinno znaleźć się na stole wigilijnym?;łatwe;Dwanaście potraw;Siedem potraw;Dziesięć potraw;Jedenaście potraw
Tradycje i Religie;Święta Bożego Narodzenia;Dla kogo od pokoleń i zwyczajowo kładzie się puste nakrycie i dodatkowy talerz przy polskim wigilijnym stole?;łatwe;Dla niespodziewanego wędrowca;Dla księdza po kolędzie;Dla Anioła Stróża;Dla świętego Mikołaja
Tradycje i Religie;Święta Bożego Narodzenia;Czym w chrześcijańskiej Polsce dzielimy się z rodziną, składając sobie życzenia, zanim rozpoczniemy kolację?;łatwe;Białym opłatkiem;Chlebem maczanym w soli;Czerwonym winem;Słodką kutią
Tradycje i Religie;Święta Bożego Narodzenia;Jak nazywa się niezwykle radosna, wesoła Msza Święta odprawiana w katolickich kościołach o północy w Wigilię?;łatwe;Pasterka;Jutrznia;Rezurekcja;Suma Bożonarodzeniowa
Tradycje i Religie;Święta Bożego Narodzenia;Pod jaką zieloną gałązką, zawieszaną zazwyczaj pod samym sufitem, bezkarnie całują się zakochani w czasie Świąt?;łatwe;Pod jemiołą;Pod świerkiem;Pod ostrokrzewem;Pod sosną
Tradycje i Religie;Wielkanoc w Polsce;Jak popularnie i pieszczotliwie nazywa się drugi dzień polskich Świąt Wielkanocnych, słynący z oblewania się wodą?;łatwe;Lany Poniedziałek (Śmigus-dyngus);Mokra Niedziela;Tłusty Czwartek;Wielki Wtorek
Tradycje i Religie;Wielkanoc w Polsce;Co wkłada się w Wielką Sobotę do małych wiklinowych koszyczków, by ksiądz pobłogosławił to w kościele?;łatwe;Święconkę;Hostię;Popiół;Olej Krzyżma
Tradycje i Religie;Wielkanoc w Polsce;Jakie specjalne, kolorowe lub zdobione woskiem kurze jaja od stuleci królują na polskich wielkanocnych stołach?;łatwe;Pisanki / Kraszanki;Sadzone;Białka wielkanocne;Faberge
Tradycje i Religie;Wielkanoc w Polsce;W który posępny, wyciszony dzień Wielkiego Tygodnia Kościół wspomina bezpośrednio mękę i śmierć Jezusa na krzyżu?;łatwe;W Wielki Piątek;W Wielki Czwartek;W Wielką Sobotę;W Niedzielę Palmową
Tradycje i Religie;Wielkanoc w Polsce;Z jakiej słodkiej masy najczęściej wypiekany jest jadalny baranek, zajmujący centralne miejsce w koszyczku wielkanocnym?;łatwe;Z cukru lub marcepanu (także ciasta);Z mięsa jagnięcego;Z białego sera;Z topionego wosku
Tradycje i Religie;Polskie Zwyczaje Ludowe;Kogo tradycyjnie na wsiach, na pożegnanie zimy i powitanie wiosny, topi się lub widowiskowo podpala w marcu?;łatwe;Marzannę;Kupałę;Śmiercichę;Dziewannę
Tradycje i Religie;Polskie Zwyczaje Ludowe;Jak nazywa się ludowy, magiczny wieczór wróżb w nocy z 29 na 30 listopada, słynący m.in. z lania rozgrzanego wosku?;łatwe;Andrzejki;Katarzynki;Zaduszki;Ostatki
Tradycje i Religie;Polskie Zwyczaje Ludowe;Co legendarnie kwitnie tylko raz w roku, podczas najkrótszej, czerwcowej Nocy Świętojańskiej?;łatwe;Kwiat paproci;Kwiat lilii wodnej;Złota Róża;Górska Szarotka
Tradycje i Religie;Polskie Zwyczaje Ludowe;Jak nazywają się przebierańcy z turoniem, aniołem, diabłem i wielką gwiazdą, pukający zimą do domów?;łatwe;Kolędnicy;Zapustnicy;Lajkoniki;Herody
Tradycje i Religie;Polskie Zwyczaje Ludowe;Jakie wielkie, polskie rolnicze święto jest uroczystym zwieńczeniem ciężkich, sierpniowych prac przy żniwach?;łatwe;Dożynki;Wianki;Okrężne;Święto Wiosny
Tradycje i Religie;Biblia i Postacie Biblijne;Kto, według Księgi Rodzaju, został poinstruowany przez Boga i wybudował gigantyczną arkę na czas potopu?;łatwe;Noe;Mojżesz;Abraham;Hiob
