Matura Język Polski;Starożytność i Biblia;bardzo trudne;Co oznacza pojęcie "pytanie retoryczne" w kontekście kazań biblijnych?;Pytanie, na które odpowiedź jest oczywista;Pytanie do Boga;Pytanie bez sensu;Pytanie do tłumu
Matura Język Polski;Starożytność i Biblia;bardzo trudne;Co oznacza termin "Hamartia" w tragedii antycznej?;Błąd tragiczny bohatera;Szczęśliwe zakończenie;Pieśń chóru;Oczyszczenie widza
Matura Język Polski;Starożytność i Biblia;bardzo trudne;Czym był "Złoty Wiek" w mitologii?;Okresem wiecznego pokoju i szczęścia ludzi;Czasem budowy piramid;Epoką panowania Zeusa;Czasem odkryć naukowych
Matura Język Polski;Starożytność i Biblia;bardzo trudne;Ile plag egipskich zostało opisanych w Księdze Wyjścia?;10;7;12;3
Matura Język Polski;Starożytność i Biblia;bardzo trudne;Jak nazywa się kategoria estetyczna w tragedii greckiej, oznaczająca litość i trwogę prowadzącą do oczyszczenia widza?;Katharsis;Hybris;Hamartia;Mimesis
Matura Język Polski;Starożytność i Biblia;bardzo trudne;Jak nazywał się przewoźnik dusz przez rzekę Styk?;Charon;Hades;Hermes;Tanatos
Matura Język Polski;Starożytność i Biblia;bardzo trudne;Jaka była treść napisu na jabłku, który rzuciła Eris?;Dla najpiękniejszej;Dla najmądrzejszej;Dla najsilniejszej;Dla władczyni
Matura Język Polski;Starożytność i Biblia;bardzo trudne;Jaka kara spotkała żonę Lota podczas ucieczki z Sodomy?;Została zamieniona w słup soli;Oślepła;Została w mieście;Zginęła od ognia
Matura Język Polski;Starożytność i Biblia;bardzo trudne;Jaki starotestamentowy mędrzec i legendarny władca uchodzi za historycznego autora "Księgi Koheleta"?;Salomon;Dawid;Saul;Jozue
Matura Język Polski;Starożytność i Biblia;bardzo trudne;Jakie miasto zostało zniszczone w "Pieśni o Rolandzie" podczas odwrotu?;Saragossa;Paryż;Akwizgran;Roncevaux
Matura Język Polski;Starożytność i Biblia;bardzo trudne;Jakie znaczenie ma liczba 7 w Biblii?;Symbolizuje doskonałość i pełnię;Oznacza grzech;Symbolizuje śmierć;Nie ma znaczenia
Matura Język Polski;Starożytność i Biblia;bardzo trudne;Kim był Laokoon w mitologii trojańskiej?;Kapłanem, który ostrzegał przed koniem;Królem Troi;Synem Priama;Greckim szpiegiem
Matura Język Polski;Starożytność i Biblia;bardzo trudne;Kim był w mitologii greckiej król Edyp?;Władcą Teb, który nieświadomie zabił ojca i poślubił matkę;Bratem Antygony;Synem Zeusa;Wodzem spod Troi
Matura Język Polski;Starożytność i Biblia;bardzo trudne;Kim były Mojry w mitologii greckiej?;Boginiami przeznaczenia przędącymi nić życia;Mużami sztuki;Córkami Zeusa;Strażniczkami piekieł
Matura Język Polski;Starożytność i Biblia;bardzo trudne;Który wybitny rzymski poeta epoki cesarza Augusta jest autorem słynnego hedonistycznego wezwania "Carpe diem"?;Horacy;Wergiliusz;Owidiusz;Seneka
Matura Język Polski;Starożytność i Biblia;trudne;Co oznacza biblijne pojęcie "manna z nieba"?;Cudowny pokarm lub niespodziewany dar;Karę boską;Rodzaj pustynnej burzy;Drogę do Ziemi Obiecanej
Matura Język Polski;Starożytność i Biblia;trudne;Co symbolizuje "puszka Pandory"?;Źródło nieszczęść i kłopotów;Wielkie bogactwo;Mądrość bogów;Nadzieję na przyszłość
Matura Język Polski;Starożytność i Biblia;trudne;Czego symbolem w Biblii jest powrót syna marnotrawnego?;Bożego miłosierdzia i wybaczenia;Kary za grzechy;Rozpadu rodziny;Bogactwa
Matura Język Polski;Starożytność i Biblia;trudne;Czym charakteryzuje się biblijna parabola?;Ma sens dosłowny i głębszy, moralny;Jest długim poematem;Opisuje tylko fakty historyczne;Nie posiada morału
Matura Język Polski;Starożytność i Biblia;trudne;Czym u Arystotelesa, w teorii starożytnej tragedii greckiej było wielkie przeżycie znane jako "katharsis"?;Duchowym oczyszczeniem z litości i trwogi;Chórem tragików komentujących zbrodnię;Nieuniknionym błędem tragicznym herosa;Nagłą i boską interwencją z maszyny w akcję
Matura Język Polski;Starożytność i Biblia;trudne;Jak miał na imię pierwszy morderca z Księgi Rodzaju, który z czystej zazdrości pozbawił życia własnego brata Abla?;Kain;Set;Ezaw;Jakub
