category;subcategory;question;level;correct;wrong1;wrong2;wrong3
Wiedza Ogólna i Ciekawostki;Rekordy Guinnessa;Jaki masywny, skalisty szczyt w pięknych Himalajach z wysokością 8848 m n.p.m dzierży miano absolutnie najwyższej góry na naszej planecie?;łatwe;Mount Everest;K2;Mont Blanc;Kilimandżaro
Wiedza Ogólna i Ciekawostki;Rekordy Guinnessa;Które żyjące naturalnie w afrykańskich warunkach piękne i pociągłe drapieżne zwierzę lądowe dzierży bezsprzecznie rekord na świecie pod względem szybkości biegu na krótkim dystansie?;łatwe;Gepard;Sokół wędrowny;Lew afrykański;Struś
Wiedza Ogólna i Ciekawostki;Rekordy Guinnessa;Jaka gigantyczna i rozbudowana rzeka płynąca dostojnie na terenie Ameryki Południowej (głównie Brazylii) w walce z Nilem od zawsze bywa najdłuższą lub na pewno najpotężniejszą i największą dorzeczem rzeką Ziemi?;łatwe;Amazonka;Rzeka Missisipi;Rzeka Jangcy;Wielki Nil (wg części badaczy)
Wiedza Ogólna i Ciekawostki;Rekordy Guinnessa;Jak miał na imię i nazwisko Amerykanin, który wpisał się do Wielkiej Księgi Rekordów Guinnessa jako absolutnie najwyższy (mierzący niesamowite 272 cm) zarejestrowany medycznie człowiek w historii świata?;łatwe;Robert Wadlow;Shaquille O'Neal;Yao Ming;Sultan Kösen
Wiedza Ogólna i Ciekawostki;Rekordy Guinnessa;Ile zatwierdzonych i uznanych lat żyła niezwykła Francuzka Jeanne Calment, ustanawiając niepobity do dzisiejszych czasów niesamowity rekord długości ludzkiego ziemskiego życia?;łatwe;Zmarła dożywając imponujących 122 lat;Zmarła dożywając tylko 102 lat;Zmarła dożywając aż 132 lat;Zmarła w równym wieku 115 lat
Wiedza Ogólna i Ciekawostki;Kosmos i Eksploracja;Z jakiej naszej ludzkiej uroczej galaktyki po nocnym i pięknym niebie wywodzi się nasz potężny i ogromny Układ Słoneczny (wraz ze Słońcem i naszą Ziemią)?;łatwe;Z Drogi Mlecznej;Z Galaktyki Andromedy;Z Galaktyki Sombrero;Z Mgławicy Oriona
Wiedza Ogólna i Ciekawostki;Kosmos i Eksploracja;Która wspaniała i niezwykle burzliwa, gazowa, posiadająca na sobie potężną Wielką Czerwoną Plamę wielka i okrągła planeta, pozostaje zawsze największą w Układzie Słonecznym?;łatwe;Jowisz;Saturn;Uran;Neptun
Wiedza Ogólna i Ciekawostki;Kosmos i Eksploracja;Jaką niezwykłą, i okrytą wielkim tlenkiem żelaza potoczną barwną i często w kinie nazywaną u nas na Ziemi nazwą, posiada bardzo w pobliżu znana nam planeta Mars?;łatwe;Czerwona Planeta;Zielony Gigant;Błękitna Kula;Czarna Dziura
Wiedza Ogólna i Ciekawostki;Kosmos i Eksploracja;Kto schodząc z historycznego i amerykańskiego księżycowego piaszczystego lądownika statku Apollo 11 powiedział kultowe do dziś na cały świat i znane zdanie: 'To jest mały krok człowieka, ale wielki skok dla ludzkości'?;łatwe;Neil Armstrong;Buzz Aldrin;Michael Collins;Elon Musk
Wiedza Ogólna i Ciekawostki;Mity i Fakty;Czy to prawda powtarzana od wieków, że bardzo zdenerwowane i dzikie byki w furię wpadają właśnie bezpośrednio pod wpływem bardzo i wyrazistego w odcieniu czerwonego koloru na noszonej przez torreadora płachcie?;łatwe;To mit. Byki nie widzą kolorów, u wkurza je tylko sam szybki ruch falującej płachty;To prawda. Czerwony kolor wyjątkowo drażni ich silną rogówkę;Prawda, reagują jedynie na mocne barwy, czerwień to alarm;To mit. Byki wkurzają się tylko na specjalne hiszpańskie okrzyki areny
