Motoryzacja i Transport;Budowa Samochodu;trudne;Jak nazywa się element silnika zamieniający ruch posuwisty tłoka na ruch obrotowy?;Wał korbowy;Wałek rozrządu;Korbowód;Koło zamachowe
Motoryzacja i Transport;Budowa Samochodu;trudne;Jak nazywa się mechanizm pozwalający kołom jednej osi obracać się z różną prędkością?;Mechanizm różnicowy (dyferencjał);Sprzęgło;Wał napędowy;Przekładnia główna
Motoryzacja i Transport;Budowa Samochodu;trudne;Jak nazywa się niezwykle ważny element układu napędowego, który umożliwia obracanie się kół osi napędowej z różnymi prędkościami na zakrętach?;Mechanizm różnicowy (dyferencjał);Wał korbowy;Sprzęgło cierne;Kolektor ssący
Motoryzacja i Transport;Budowa Samochodu;trudne;Jak nazywa się precyzyjne urządzenie w układzie paliwowym nowoczesnych silników benzynowych, które zastąpiło gaźnik i dozuje paliwo bezpośrednio do cylindrów lub kolektora ssącego pod wysokim ciśnieniem?;Wtryskiwacz (Injector);Dysza Laval;Zawór EGR;Przepustnica powietrza
Motoryzacja i Transport;Budowa Samochodu;trudne;Jak nazywa się urządzenie w układzie wydechowym, które drastycznie zmniejsza emisję szkodliwych spalin?;Katalizator;Tłumik końcowy;Sonda lambda;Kolektor wydechowy
Motoryzacja i Transport;Budowa Samochodu;trudne;Jak określa się specjalny przegub napędowy, który pozwala na płynne przekazywanie momentu obrotowego pod zmiennym kątem (szczególnie w autach z przednim napędem)?;Przegub homokinetyczny;Przegub Cardana;Przegub krzyżakowy;Przegub kulowy
Motoryzacja i Transport;Budowa Samochodu;trudne;Jaki czujnik w układzie wydechowym mierzy skład spalin?;Sonda lambda;Przepływomierz;Termostat;Czujnik Halla
Motoryzacja i Transport;Budowa Samochodu;trudne;Jaki precyzyjny czujnik w układzie wydechowym mierzy zawartość tlenu w spalinach, przesyłając dane niezbędne do ustalenia dawki paliwa?;Sonda lambda;Przepływomierz;Czujnik spalania stukowego;Potencjometr przepustnicy
Motoryzacja i Transport;Budowa Samochodu;łatwe;Co odpowiada za magazynowanie w samochodzie energii elektrycznej, umożliwiając m.in. rozruch silnika, gdy auto jest wyłączone?;Akumulator;Prądnica;Kondensator;Bezpiecznik
Motoryzacja i Transport;Budowa Samochodu;łatwe;Jak nazywa się element służący do kierowania pojazdem?;Kierownica;Pedal gazu;Hamulec;Skrzynia biegów
Motoryzacja i Transport;Budowa Samochodu;łatwe;Jak nazywa się prądnica w samochodzie, która jest napędzana paskiem i podczas jazdy ładuje akumulator?;Alternator;Rozrusznik;Turbosprężarka;Rozdzielacz zapłonu
Motoryzacja i Transport;Budowa Samochodu;łatwe;Jaki bardzo widoczny element tuż za atrapą z przodu auta, wykorzystując opływające ją powietrze, chroni płyn i silnik przed przegrzaniem?;Chłodnica;Alternator;Miska olejowa;Skrzynia biegów
Motoryzacja i Transport;Budowa Samochodu;łatwe;Jaki element silnika spalinowego odpowiada za zapłon mieszanki paliwowo-powietrznej w silniku benzynowym?;Świeca zapłonowa;Tłok;Wał korbowy;Rozrząd
Motoryzacja i Transport;Budowa Samochodu;łatwe;Jaki mechanizm w układzie napędowym pozwala na zmianę przełożenia, decydując o sile i prędkości przekazywanej na koła?;Skrzynia biegów;Mechanizm różnicowy;Wał Kardana;Sprzęgło
Motoryzacja i Transport;Budowa Samochodu;łatwe;Która część silnika odpowiada za zapłon mieszanki w silniku benzynowym?;Świeca zapłonowa;Tłok;Chłodnica;Alternator
Motoryzacja i Transport;Budowa Samochodu;łatwe;W jaki specjalistyczny element wyposażony jest tradycyjny silnik benzynowy, aby wygenerować przeskok iskry i zainicjować zapłon mieszanki?;W świecę zapłonową;W świecę żarową;W wtryskiwacz paliwa;W przepustnicę
Motoryzacja i Transport;Ekologia w Motoryzacji;trudne;Ile gramów CO₂ na kilometr wynosiło docelowe ograniczenie emisji dla nowych samochodów osobowych w Unii Europejskiej, obowiązujące producentów od 2021 roku (średnia wartość floty)?;95 g/km;120 g/km;75 g/km;130 g/km
Motoryzacja i Transport;Ekologia w Motoryzacji;trudne;Jak nazywa się 32,5-procentowy wodny roztwór mocznika, stosowany w nowoczesnych silnikach diesla w celu katalitycznej redukcji szkodliwych tlenków azotu?;AdBlue;Eolys;LHM;Petrygo
Motoryzacja i Transport;Ekologia w Motoryzacji;trudne;Jak potocznie określa się system, który ze względów ekologicznych automatycznie wyłącza silnik spalinowy, gdy auto zatrzymuje się na światłach?;System Start-Stop;System KERS;System hybrydowy;System rekuperacji
Motoryzacja i Transport;Ekologia w Motoryzacji;trudne;Jaki bezwonny, pozbawiony smaku i niezwykle trujący gaz jest bezpośrednim wynikiem niepełnego spalania paliwa w komorze silnika spalinowego?;Tlenek węgla;Dwutlenek węgla;Tlenek azotu;Związek siarki
Motoryzacja i Transport;Ekologia w Motoryzacji;trudne;Pod jakim skrótem znane są europejskie standardy emisji spalin, których najnowsza norma to numer 7?;Euro;EPA;CARB;WLTP
