category;subcategory;question;level;correct;wrong1;wrong2;wrong3
Sztuka i Architektura;Słynni Malarze;"Kto bardzo starannie namalował we Włoszech jeden z absolutnie najbardziej znanych i tajemniczych portretów na świecie - ""Mona Lisę""?";łatwe;Leonardo da Vinci;Michał Anioł;Rafael Santi;Sandro Botticelli
Sztuka i Architektura;Słynni Malarze;"Jaki borykający się z problemami psychicznymi holenderski postimpresjonista stworzył oszałamiające i wirujące barwami dzieło ""Gwiaździsta noc""?";łatwe;Vincent van Gogh;Claude Monet;Pablo Picasso;Salvador Dalí
Sztuka i Architektura;Słynni Malarze;Kto osobiście, po długich latach na rusztowaniach u boku papieża, jest autorem wielkich, potężnych fresków w Kaplicy Sykstyńskiej w Watykanie?;łatwe;Michał Anioł (Michelangelo);Leonardo da Vinci;Tycjan;Caravaggio
Sztuka i Architektura;Słynni Malarze;Z którym charakterystycznym, bardzo kontrowersyjnym malarzem z Hiszpanii, namiętnie układającym zakręcone wąsy, najmocniej łączy się surrealizm?;łatwe;Z Salvadorem Dalí;Z Pablem Picassem;Z Francisco Goyą;Z Diegiem Velázquezem
Sztuka i Architektura;Słynni Malarze;"Który nowatorski twórca XX wieku na zawsze zasłynął z dziwnych, kubistycznych form oraz wielkiego antywojennego, czarno-białego płótna ""Guernica""?";łatwe;Pablo Picasso;Henri Matisse;Paul Cézanne;Edvard Munch
Sztuka i Architektura;Najdroższe Obrazy Świata;Jaki niesamowicie upiorny, niezwykle mroczny i popularny norweski obraz namalowany przez Edvarda Muncha bywa notorycznie celem muzealnych kradzieży?;łatwe;Krzyk;Pocałunek;Trwałość pamięci;Narodziny Wenus
Sztuka i Architektura;Najdroższe Obrazy Świata;"Pędzla jakiego wybitnego włoskiego artysty renesansu jest zjawiskowa i zagadkowa ""Mona Lisa"", chroniona grubą szybą kulooporną w paryskim Luwrze?";łatwe;Leonarda da Vinci;Rembrandta;Sandro Botticellego;Jana Vermeera
Sztuka i Architektura;Najdroższe Obrazy Świata;"Jak nazywa się w świecie popkultury tajemniczy artysta z ulicy, którego poszatkowany w niszczarce obraz ""Dziewczynka z balonikiem"" zdobył wielką cenę?";łatwe;Banksy;Keith Haring;Jean-Michel Basquiat;Andy Warhol
Sztuka i Architektura;Najdroższe Obrazy Świata;"Kto niesamowicie subtelnie i z wyczuciem bieli namalował słynną ""Dziewczynę z perłą"", określaną często jako urocza Holenderska Mona Lisa?";łatwe;Jan Vermeer;Rembrandt van Rijn;Peter Paul Rubens;Frans Hals
Sztuka i Architektura;Najdroższe Obrazy Świata;"Jakie wielkie nazwisko dumnie nosi austriacki malarz z czasów secesji, niezwykły autor ogromnego i bogato pokrytego cienkim złotem obrazu ""Pocałunek""?";łatwe;Gustav Klimt;Egon Schiele;Oskar Kokoschka;Otto Dix
