Kulinaria i Smaki;Desery i Wypieki;trudne;Jak nazywa się austriackie ciasto czekoladowe z marmoladą morelową?;Tort Sachera;Tort Linzer;Apfelstrudel;Kremówka
Kulinaria i Smaki;Desery i Wypieki;trudne;Jak nazywa się francuski deser z kremu waniliowego z warstwą przypalonego karmelu?;Crème brûlée;Panna cotta;Mus czekoladowy;Eler
Kulinaria i Smaki;Desery i Wypieki;trudne;Jak nazywa się klasyczny, francuski deser składający się z kremu waniliowego zapiekanego z chrupiącą, karmelową skorupką na wierzchu?;Crème brûlée;Panna cotta;Tiramisu;Zabaione
Kulinaria i Smaki;Desery i Wypieki;trudne;Jak nazywa się staropolski, dojrzewający tygodniami deser wypiekany z potężną ilością miodu i przypraw korzennych?;Piernik staropolski;Sękacz;Keks;Makowiec
Kulinaria i Smaki;Desery i Wypieki;trudne;Jak nazywa się słynny wiedeński tort czekoladowy z warstwą marmolady morelowej, stworzony przez Franza Sachera w 1832 roku?;Sachertorte;Dobostorte;Schwarzwälder Kirschtorte;Linzer Torte
Kulinaria i Smaki;Desery i Wypieki;trudne;Jak nazywa się tradycyjne austriackie ciasto czekoladowe z dżemem morelowym i polewą?;Tort Sachera;Tort Szwarcwaldzki;Strudel;Linzer Torte
Kulinaria i Smaki;Desery i Wypieki;trudne;Z jakiej mąki cukiernicy wypiekają bazę do kruchych, kolorowych, francuskich ciasteczek zwanych makaronikami?;Z mąki migdałowej;Z mąki pszennej;Z mąki kasztanowej;Z mąki kukurydzianej
Kulinaria i Smaki;Desery i Wypieki;trudne;Z jakiej mąki robi się tradycyjne francuskie makaroniki?;Migdałowej;Pszennej;Kukurydzianej;Ryżowej
Kulinaria i Smaki;Desery i Wypieki;łatwe;Głównym owocem w nadzieniu bardzo tradycyjnej, domowej polskiej szarlotki zawsze muszą być...;Jabłka (z cynamonem);Śliwki;Wiśnie;Gruszki
Kulinaria i Smaki;Desery i Wypieki;łatwe;Jak nazywa się puszyste ciasto drożdżowe z dziurką w środku, tradycyjnie pieczone na Wielkanoc?;Babka;Mazurek;Sernik;Keks
