category;subcategory;question;level;correct;wrong1;wrong2;wrong3
Przyroda i Biologia;Ochrona Gatunkowa;Jaki duży ptak drapieżny, widniejący w polskim godle, podlega u nas ścisłej ochronie gatunkowej?;łatwe;Bielik;Sokół wędrowny;Jastrząb;Kruk
Przyroda i Biologia;Ochrona Gatunkowa;Jaka międzynarodowa księga zawiera oficjalny i uaktualniany spis gatunków zagrożonych wyginięciem?;łatwe;Czerwona Księga;Czarna Księga;Zielona Księga;Księga Dżungli
Przyroda i Biologia;Ochrona Gatunkowa;Jaki sympatyczny azjatycki niedźwiedź stał się globalnym symbolem fundacji WWF?;łatwe;Panda wielka;Koala;Grizzly;Niedźwiedź polarny
Przyroda i Biologia;Ochrona Gatunkowa;Jak nazywa się ochrona polegająca na dbaniu o gatunki całkowicie wymarłe w naturze w ogrodach zoo?;łatwe;Ochrona ex situ;Ochrona in situ;Ochrona obszarowa;Ochrona rezerwatowa
Przyroda i Biologia;Ochrona Gatunkowa;Który duży polski ssak kopytny, zwany królem puszczy, został uratowany przed całkowitym wymarciem?;łatwe;Żubr;Łoś;Jeleń;Dzik
Przyroda i Biologia;Zjawiska Atmosferyczne;Jak potocznie określamy gwałtowne wyładowanie elektryczne w atmosferze z efektem świetlnym i hukiem?;łatwe;Piorun (Błyskawica);Huragan;Zorza;Grad
Przyroda i Biologia;Zjawiska Atmosferyczne;Co jest główną przyczyną powstawania malowniczej, wielokolorowej tęczy na niebie po deszczu?;łatwe;Rozszczepienie światła w kroplach;Odbicie światła od chmur;Wyładowania elektrostatyczne;Parowanie wody z ziemi
Przyroda i Biologia;Zjawiska Atmosferyczne;Jak nazywa się zjawisko świetlne występujące najczęściej w pobliżu biegunów, tworzące barwne pasy?;łatwe;Zorza polarna;Halo;Słońce poboczne;Widmo Brockenu
Przyroda i Biologia;Zjawiska Atmosferyczne;Jaki niebezpieczny wir powietrzny tworzy charakterystyczny lej od chmury aż do samej ziemi?;łatwe;Trąba powietrzna (Tornado);Tajfun;Cyklon;Monsun
Przyroda i Biologia;Zjawiska Atmosferyczne;W jakiej postaci opada na ziemię woda, tworząc w chmurze lodowe, nieregularne bryłki podczas burzy?;łatwe;Gradu;Śniegu;Szronu;Rosy
Przyroda i Biologia;Leśnictwo i Łowiectwo;Jak nazywa się specjalna wieżyczka w lesie lub na skraju pola, służąca myśliwym do polowań?;łatwe;Ambona;Paśnik;Zwyżka;Czatownia
Przyroda i Biologia;Leśnictwo i Łowiectwo;W jakim obiekcie, popularnym zimą w lesie, leśnicy wykładają pożywienie dla dzikich zwierząt?;łatwe;W paśniku;W karmniku;W ulu;W gawrze
Przyroda i Biologia;Leśnictwo i Łowiectwo;Jak określa się profesjonalistę zajmującego się sadzeniem, ochroną i wycinką drzew w lasach?;łatwe;Leśnik;Myśliwy;Drwal;Gajowy
Przyroda i Biologia;Leśnictwo i Łowiectwo;Co to jest wargowy, głośny zew byków jelenia szlachetnego w okresie jesiennego godu?;łatwe;Rykowisko;Bekowisko;Tokowisko;Bukowisko
Przyroda i Biologia;Leśnictwo i Łowiectwo;Z jakich zwierząt składa się tzw. wataha w terminologii myśliwskiej i leśnej?;łatwe;Z wilków lub dzików;Z jeleni i sarn;Z ptaków wędrownych;Z rysi i żbików
Przyroda i Biologia;Biologia Komórki;Jak nazywa się centralna struktura komórki eukariotycznej, która przechowuje materiał genetyczny?;łatwe;Jądro komórkowe;Mitochondrium;Rybosom;Wakuola
Przyroda i Biologia;Biologia Komórki;Które organella potocznie nazywane są 'elektrowniami komórki', bo produkują życiodajną energię ATP?;łatwe;Mitochondria;Lizosomy;Aparaty Golgiego;Chloroplasty
Przyroda i Biologia;Biologia Komórki;Jaki ważny, skomplikowany proces odpowiada w biologii za podział zwykłej komórki na dwie potomne?;łatwe;Mitoza;Mejoza;Osmoza;Plazmoliza
Przyroda i Biologia;Biologia Komórki;Czego NIE posiada w swojej naturalnej strukturze ludzka komórka zwierzęca w odróżnieniu od roślin?;łatwe;Ściany komórkowej i chloroplastów;Jądra i błony komórkowej;Cytoplazmy;Mitochondriów
Przyroda i Biologia;Biologia Komórki;Jak nazywają się mikroskopijne struktury w komórce, na których bezpośrednio zachodzi synteza białek?;łatwe;Rybosomy;Centriole;Wakuole;Chloroplasty
Przyroda i Biologia;Genetyka;Jak brzmi pełne rozwinięcie skrótu DNA, czyli nośnika naszej informacji genetycznej?;łatwe;Kwas deoksyrybonukleinowy;Kwas rybonukleinowy;Kwas mlekowy;Kwas acetylosalicylowy
Przyroda i Biologia;Genetyka;Ile par chromosomów występuje u zdrowego człowieka w każdej zwykłej, somatycznej komórce ciała?;łatwe;23 pary (łącznie 46);21 par;46 par;24 pary
Przyroda i Biologia;Genetyka;Jaki zakonnik badając krzyżowanie grochu sformułował podstawowe prawa dziedziczenia i genetyki?;łatwe;Grzegorz Mendel;Karol Darwin;Ludwik Pasteur;Thomas Hunt Morgan
Przyroda i Biologia;Genetyka;Jaki chromosom decyduje u ssaków wprost o męskiej płci potomska, będąc przekazywanym przez ojca?;łatwe;Chromosom Y;Chromosom X;Chromosom Z;Chromosom W
Przyroda i Biologia;Genetyka;Jak potocznie określa się organizmy, których DNA celowo zmieniono w laboratorium (np. kukurydza)?;łatwe;Organizmy modyfikowane genetycznie (GMO);Organizmy klonowane;Zmutowane hybrydy;Chimery
Przyroda i Biologia;Świat Mikrobów;Jak nazywają się jednokomórkowe organizmy bez jądra, które mogą powodować infekcje lub np. kwaszenie?;łatwe;Bakterie;Wirusy;Grzyby;Pierwotniaki
Przyroda i Biologia;Świat Mikrobów;Co powoduje groźne choroby takie jak grypa, ospa czy COVID-19 i nie jest uznawane za w pełni żywe?;łatwe;Wirus;Bakteria;Pasożyt;Pierwotniak
