Literatura i Język;Eposy i Dramaty;trudne;Ile ksiąg liczy 'Iliada' Homera?;24;12;36;48
Literatura i Język;Eposy i Dramaty;trudne;Jak ma na imię bohater narodowego eposu "Pan Tadeusz", który w młodości zabił Stolnika Horeszkę i przybrał imię księdza Robaka?;Jacek Soplica;Maciej Dobrzyński;Gerwazy Rębajło;Protazy Brzechalski
Literatura i Język;Eposy i Dramaty;trudne;Jak ma na imię główny bohater "Pana Tadeusza", który przybrał nazwisko Robak?;Jacek Soplica;Tadeusz Soplica;Sędzia Soplica;Gerwazy
Literatura i Język;Eposy i Dramaty;trudne;Jak ma na imię tytułowy bohater dramatu "Kordian" Juliusza Słowackiego?;Kordian;Konrad;Gustaw;Roland
Literatura i Język;Eposy i Dramaty;trudne;Kto jest wybitnym autorem dramatu romantycznego "Nie-Boska komedia", którego głównym bohaterem jest Hrabia Henryk?;Zygmunt Krasiński;Juliusz Słowacki;Adam Mickiewicz;Cyprian Kamil Norwid
Literatura i Język;Eposy i Dramaty;trudne;Kto napisał dramat "Nie-Boska komedia"?;Zygmunt Krasiński;Juliusz Słowacki;Adam Mickiewicz;Stanisław Wyspiański
Literatura i Język;Eposy i Dramaty;trudne;W jakiej historycznej pieśni z francuskiego średniowiecza (tzw. chanson de geste) opiewa się czyny rycerza, który zginął w wąwozie Roncevaux?;Pieśń o Rolandzie;Pieśń o Nibelungach;Słowo o wyprawie Igora;Beowulf
Literatura i Język;Eposy i Dramaty;trudne;W jakiej starofrancuskiej pieśni opiewa się czyny rycerza poległego w wąwozie Roncevaux?;Pieśń o Rolandzie;Pieśń o Nibelungach;Beowulf;Słowo o wyprawie Igora
Literatura i Język;Eposy i Dramaty;łatwe;Jak nazywa się największy rzymski epos, którego autorem jest Wergiliusz?;Eneida;Odyseja;Metamorfozy;Sztuka kochania
Literatura i Język;Eposy i Dramaty;łatwe;Jak nazywa się słynny dramat Williama Szekspira o parze nieszczęśliwych kochanków z Werony?;Romeo i Julia;Hamlet;Makbet;Otello
Literatura i Język;Eposy i Dramaty;łatwe;Kto jest autorem narodowego eposu "Pan Tadeusz"?;Adam Mickiewicz;Juliusz Słowacki;Cyprian Kamil Norwid;Henryk Sienkiewicz
Literatura i Język;Eposy i Dramaty;łatwe;Kto jest autorem polskiej epopei narodowej "Pan Tadeusz"?;Adam Mickiewicz;Juliusz Słowacki;Henryk Sienkiewicz;Bolesław Prus
Literatura i Język;Eposy i Dramaty;łatwe;Kto z antycznych twórców jest uważany za autora wielkiego eposu pt. 'Iliada'?;Homer;Sofokles;Arystoteles;Owidiusz
Literatura i Język;Eposy i Dramaty;łatwe;Która znana tragedia romantyczna Juliusza Słowackiego opowiada o spisku na życie cara?;Kordian;Balladyna;Lilla Weneda;Mazepa
Literatura i Język;Eposy i Dramaty;łatwe;W jakim dramacie Stanisława Wyspiańskiego akcja toczy się podczas chłopskiego wesela?;W 'Weselu';W 'Nocy listopadowej';W 'Wyzwoleniu';W 'Klątwie'
Literatura i Język;Eposy i Dramaty;łatwe;Z ilu głównych części (aktów literackich) składają się mickiewiczowskie 'Dziady'?;Z czterech (II, III, IV i fragmenty I);Z trzech (I, II, III);Z dwóch (Tylko cz. II i III);Z pięciu
Literatura i Język;Fantasy i Sci-Fi;trudne;Jak nazywa się planeta, na której toczy się akcja cyklu "Diuna" Franka Herberta?;Arrakis;Caladan;Giedi Prime;Kaitain
Literatura i Język;Fantasy i Sci-Fi;trudne;Jak nazywa się planeta, na której toczy się główna akcja powieści "Diuna" Franka Herberta?;Arrakis;Tatooine;Krypton;Pandora
Literatura i Język;Fantasy i Sci-Fi;trudne;Jak nazywa się potężna, brytyjska seria powieści fantasy, której akcja toczy się na kontynencie o nazwie Świat Dysku?;Świat Dysku (Terry Pratchett);Ziemiomorze (Ursula K. Le Guin);Mroczna Wieża (Stephen King);Koło Czasu (Robert Jordan)
Literatura i Język;Fantasy i Sci-Fi;trudne;Jak nazywa się potężny pierścień z sagi Tolkiena, wykuty w Górze Przeznaczenia?;Jedyny Pierścień;Pierścień Naryi;Pierścień Vilyi;Pierścień Barahira
