category;subcategory;question;level;correct;wrong1;wrong2;wrong3
Literatura i Język;Lektury Szkolne;Kto jest autorem epopei narodowej 'Pan Tadeusz'?;łatwe;Adam Mickiewicz;Juliusz Słowacki;Henryk Sienkiewicz;Bolesław Prus
Literatura i Język;Lektury Szkolne;Jak miał na imię kupiec, główny bohater 'Lalki' Bolesława Prusa?;łatwe;Stanisław Wokulski;Ignacy Rzecki;Julian Ochocki;Tomasz Judym
Literatura i Język;Lektury Szkolne;O kim opowiada książka 'Kamienie na szaniec' Aleksandra Kamińskiego?;łatwe;O członkach Szarych Szeregów;O rycerzach średniowiecza;O powstańcach styczniowych;O legionach Dąbrowskiego
Literatura i Język;Lektury Szkolne;Z jakiego utworu Juliusza Słowackiego pochodzi bezwzględna królowa Balladyna?;łatwe;Z dramatu 'Balladyna';Z 'Kordiana';Z 'Beniowskiego';Z 'Lilli Wenedy'
Literatura i Język;Lektury Szkolne;Z jakim zwierzęciem zaprzyjaźnił się Mały Książę z powieści Exupéry'ego?;łatwe;Z lisem;Z lwem;Ze słoniem;Z wężem
Literatura i Język;Polscy Nobliści;Kto otrzymał Literacką Nagrodę Nobla za epicką powieść 'Chłopi'?;łatwe;Władysław Reymont;Henryk Sienkiewicz;Czesław Miłosz;Stefan Żeromski
Literatura i Język;Polscy Nobliści;Która polska pisarka zdobyła literackiego Nobla za rok 2018?;łatwe;Olga Tokarczuk;Wisława Szymborska;Maria Skłodowska-Curie;Dorota Masłowska
Literatura i Język;Polscy Nobliści;Za jakie wielkie dzieło Henryk Sienkiewicz otrzymał Nagrodę Nobla w 1905 r.?;łatwe;Za całokształt (głównie Quo Vadis);Za 'Krzyżaków';Za 'Trylogię';Za 'W pustyni i w puszczy'
Literatura i Język;Polscy Nobliści;W którym roku poetka Wisława Szymborska odebrała Nagrodę Nobla?;łatwe;W 1996 r.;W 1980 r.;W 2004 r.;W 1990 r.
Literatura i Język;Polscy Nobliści;Kto jest autorem 'Zniewolonego umysłu' uhonorowanym Noblem w 1980 r.?;łatwe;Czesław Miłosz;Zbigniew Herbert;Witold Gombrowicz;Stanisław Lem
Literatura i Język;Poezja Polska;Kogo uznaje się za najwybitniejszego polskiego poetę renesansu?;łatwe;Jana Kochanowskiego;Mikołaja Reja;Ignacego Krasickiego;Cypriana Kamila Norwida
Literatura i Język;Poezja Polska;Kto napisał słynny wiersz dla dzieci 'Lokomotywa'?;łatwe;Julian Tuwim;Jan Brzechwa;Maria Konopnicka;Kornel Makuszyński
Literatura i Język;Poezja Polska;Do jakiej epoki literackiej zaliczany jest twórczość Adama Mickiewicza?;łatwe;Do Romantyzmu;Do Oświecenia;Do Pozytywizmu;Do Młodej Polski
Literatura i Język;Poezja Polska;Który tragicznie zmarły w powstaniu poeta należał do Pokolenia Kolumbów?;łatwe;Krzysztof Kamil Baczyński;Tadeusz Różewicz;Zbigniew Herbert;Miron Białoszewski
Literatura i Język;Poezja Polska;Jak rozpoczyna się Inwokacja w 'Panu Tadeuszu'?;łatwe;Litwo! Ojczyzno moja!;Polsko! Ojczyzno moja!;Miej serce i patrzaj w serce!;O, roku ów!
