category;subcategory;question;level;correct;wrong1;wrong2;wrong3
Kulinaria i Smaki;Tradycyjne Zupy Polskie;Jaka kwaśna zupa, podawana z jajkiem i białą kiełbasą, króluje w Polsce na wielkanocnym stole?;łatwe;Żurek;Barszcz czerwony;Ogórkowa;Pomidorowa
Kulinaria i Smaki;Tradycyjne Zupy Polskie;Z jakich tartych i fermentowanych warzyw przygotowuje się najpopularniejszy polski barszcz?;łatwe;Z buraków;Z kapusty;Z pomidorów;Ze szczawiu
Kulinaria i Smaki;Tradycyjne Zupy Polskie;Na jakim drobiowym wywarze zazwyczaj przygotowuje się klasyczny, niedzielny, polski rosół?;łatwe;Na kurze (lub kaczce) i wołowinie;Na rybach;Na wieprzowinie i kościach;Tylko i wyłącznie na warzywach
Kulinaria i Smaki;Tradycyjne Zupy Polskie;Jaka zupa jest przyrządzana z podrobów, krwi wieprzowej (lub drobiowej) i ma bardzo ciemny kolor?;łatwe;Czernina (Czarna polewka);Żurek;Zalewajka;Krupnik
Kulinaria i Smaki;Pierogi i Dania Mączne;Jakie to bardzo znane pierogi, które w farszu oprócz cebulki i pieprzu łączą twaróg i ziemniaki?;łatwe;Pierogi ruskie;Pierogi z kapustą i grzybami;Pierogi leniwe;Pierogi z mięsem
Kulinaria i Smaki;Pierogi i Dania Mączne;Jak nazywają się śląskie kluski robione z gotowanych ziemniaków i skrobi, z dziurką w środku?;łatwe;Kluski śląskie;Kopytka;Knedle;Pielmieni
Kulinaria i Smaki;Pierogi i Dania Mączne;Z czym tradycyjnie, na słodko, Polacy latem jedzą mączne dania i pierogi oprócz śmietany i cukru?;łatwe;Z jagodami lub truskawkami;Z bananami;Z ananasem;Z jabłkami
Kulinaria i Smaki;Pierogi i Dania Mączne;Jakie małe, bardzo drobne 'uszka' najczęściej wrzuca się do czystego, wigilijnego barszczu?;łatwe;Uszka z grzybami;Uszka z serem;Uszka z mięsem;Uszka z łososiem
Kulinaria i Smaki;Pierogi i Dania Mączne;Z czego robione są kopytka, tradycyjnie podawane jako dodatek do sosów lub mięs obiadowych?;łatwe;Z ziemniaków, mąki i jajka;Z kaszy manny;Z mąki kukurydzianej;Z ryżu
Kulinaria i Smaki;Kuchnia Włoska;Jaka klasyczna, bardzo cienka pizza z Neapolu posiada pomidory, mozzarellę i świeżą bazylię?;łatwe;Margherita;Capricciosa;Pepperoni;Quattro Formaggi
Kulinaria i Smaki;Kuchnia Włoska;Co jest absolutną bazą prawdziwego włoskiego sosu carbonara przygotowywanego w rejonie Rzymu?;łatwe;Żółtka jaj, ser pecorino i guanciale;Śmietana i cebula;Mielone mięso i pomidory;Czosnek, oliwa i peperoncino
Kulinaria i Smaki;Kuchnia Włoska;Jak nazywa się podłużny makaron w formie cieniutkich nitek, z którego robi się Spaghetti Bolognese?;łatwe;Spaghetti;Penne;Farfalle;Fusilli
Kulinaria i Smaki;Kuchnia Włoska;Jaki puszysty, włoski deser oparty na serku mascarpone jest nasączany aromatyczną kawą espresso?;łatwe;Tiramisu;Panna cotta;Gelato;Cannoli
Kulinaria i Smaki;Kuchnia Włoska;Co charakteryzuje popularne, małe pierożki o nazwie ravioli, typowe dla kuchni północnych Włoch?;łatwe;Mają kwadratowy kształt i farsz w środku;Wyglądają jak kokardki;Są nadziewane wyłącznie lodami;Robi się je z ziemniaków
Kulinaria i Smaki;Kuchnia Azjatycka;Z jakiego kraju pochodzi oryginalnie sushi, w którym surową rybę i warzywa zawija się w ryż i glony?;łatwe;Z Japonii;Z Chin;Z Korei Południowej;Z Tajlandii
