Społeczeństwo i Prawo;Dokumenty Osobiste;trudne;Ile cyfr posiada polski Powszechny Elektroniczny System Ewidencji Ludności (PESEL)?;11;9;10;13
Społeczeństwo i Prawo;Dokumenty Osobiste;trudne;Ile wynosi maksymalny termin ważności paszportu tymczasowego wydawanego w wyjątkowych sytuacjach losowych?;12 miesięcy;6 miesięcy;3 miesiące;1 miesiąc
Społeczeństwo i Prawo;Dokumenty Osobiste;trudne;Jak nazywa się unikalny, 11-cyfrowy numer identyfikacyjny nadawany w Polsce osobom fizycznym?;PESEL;NIP;REGON;KRS
Społeczeństwo i Prawo;Dokumenty Osobiste;trudne;Na jaki okres ważności wydawany jest paszport pełnoletniemu obywatelowi Rzeczypospolitej Polskiej?;10 lat;5 lat;15 lat;8 lat
Społeczeństwo i Prawo;Dokumenty Osobiste;trudne;Od jakiego wieku można w Polsce w pełni samodzielnie wnioskować o wydanie dowodu osobistego?;Od 18 lat;Od 16 lat;Od 15 lat;Od 21 lat
Społeczeństwo i Prawo;Dokumenty Osobiste;trudne;Przez ile lat jest zazwyczaj ważny standardowy dowód osobisty wydany osobie pełnoletniej w Polsce?;10 lat;5 lat;15 lat;Bezterminowo
Społeczeństwo i Prawo;Dokumenty Osobiste;łatwe;Co oznacza w całej Unii Europejskiej dokument EKUZ, przydatny podczas wakacyjnych urazów i chorób?;Europejska Karta Ubezpieczenia Zdrowotnego;Europejski Kod Ubezpieczeń Zwrotnych;Elektroniczna Karta Urzędu Zdrowia;Ewidencja Krajowych Usług Zdrowotnych
Społeczeństwo i Prawo;Dokumenty Osobiste;łatwe;Co upoważnia i certyfikuje dorosłego Polaka do legalnego prowadzenia samochodu po drogach publicznych?;Prawo jazdy;Dowód rejestracyjny;Karta pojazdu;Ubezpieczenie OC
Społeczeństwo i Prawo;Dokumenty Osobiste;łatwe;Jaki dokument książeczkowy jest bezwzględnie wymagany, by wyjechać z Polski np. do USA czy Australii?;Paszport;Dowód osobisty;Karta EKUZ;Wiza turystyczna (tylko wiza)
Społeczeństwo i Prawo;Dokumenty Osobiste;łatwe;Jaki dokument potwierdza tożsamość i obywatelstwo polskie na terenie kraju?;Dowód osobisty;Prawo jazdy;Legitymacja szkolna;Paszport
Społeczeństwo i Prawo;Dokumenty Osobiste;łatwe;Jaki polski dokument urzędowy uczeń polskiej szkoły pokazuje w PKP, by otrzymać zniżkę na pociąg?;Legitymację szkolną;Paszport tymczasowy;Zaświadczenie ze szkoły;Akt urodzenia
Społeczeństwo i Prawo;Dokumenty Osobiste;łatwe;Od którego roku życia obywatel Polski może całkowicie samodzielnie wyrobić pełnoprawny dowód osobisty?;Od 18. roku życia;Od 16. roku życia;Od 15. roku życia;Od 21. roku życia
Społeczeństwo i Prawo;Edukacja i Szkolnictwo;trudne;Do jakiego wieku nauka w Polsce jest obowiązkowa (choć niekoniecznie w szkole) według Konstytucji?;Do 18 lat;Do 16 lat;Do 15 lat;Do 21 lat
Społeczeństwo i Prawo;Edukacja i Szkolnictwo;trudne;Jak nazywa się najwyższy stopień naukowy, który można uzyskać w Polsce (nadawany przez uczelnię lub instytut PAN)?;Doktor habilitowany;Doktor;Profesor;Magister inżynier
Społeczeństwo i Prawo;Edukacja i Szkolnictwo;trudne;Kto sprawuje nadzór pedagogiczny nad szkołami i placówkami oświatowymi na terenie danego województwa?;Kurator oświaty;Wojewoda;Marszałek województwa;Starosta
Społeczeństwo i Prawo;Edukacja i Szkolnictwo;trudne;Który artykuł Konstytucji RP gwarantuje każdemu prawo do nauki oraz stanowi o bezpłatności nauki w szkołach publicznych?;Artykuł 70;Artykuł 65;Artykuł 48;Artykuł 72
