category;subcategory;level
Film i Telewizja;Aktorzy Starszego Pokolenia;trudne
Film i Telewizja;Aktorzy Starszego Pokolenia;łatwe
Film i Telewizja;Festiwal w Gdyni;trudne
Film i Telewizja;Festiwal w Gdyni;łatwe
Film i Telewizja;Filmy Animowane;trudne
Film i Telewizja;Filmy Animowane;łatwe
Film i Telewizja;Gwiazdy Hollywood;trudne
Film i Telewizja;Gwiazdy Hollywood;łatwe
Film i Telewizja;Historia Kina;trudne
Film i Telewizja;Historia Kina;łatwe
Film i Telewizja;Horrory i Thrillery;trudne
Film i Telewizja;Horrory i Thrillery;łatwe
Film i Telewizja;Kino Akcji;trudne
Film i Telewizja;Kino Akcji;łatwe
Film i Telewizja;Kino Marvela i DC;trudne
Film i Telewizja;Kino Marvela i DC;łatwe
Film i Telewizja;Komedie Stanisława Barei;trudne
Film i Telewizja;Komedie Stanisława Barei;łatwe
Film i Telewizja;Kultowe Polskie Seriale;trudne
Film i Telewizja;Kultowe Polskie Seriale;łatwe
Film i Telewizja;Muzyka Filmowa;trudne
Film i Telewizja;Muzyka Filmowa;łatwe
Film i Telewizja;Nagrody Oscar;trudne
Film i Telewizja;Nagrody Oscar;łatwe
Film i Telewizja;Polscy Reżyserzy;trudne
Film i Telewizja;Polscy Reżyserzy;łatwe
Film i Telewizja;Programy Rozrywkowe (Show);trudne
Film i Telewizja;Programy Rozrywkowe (Show);łatwe
Film i Telewizja;Seriale Netflix i HBO;trudne
Film i Telewizja;Seriale Netflix i HBO;łatwe
Film i Telewizja;Złote Myśli z Ekranu;trudne
Film i Telewizja;Złote Myśli z Ekranu;łatwe
Geografia i Turystyka;Atrakcje Turystyczne Europy;trudne
Geografia i Turystyka;Atrakcje Turystyczne Europy;łatwe
Geografia i Turystyka;Cuda Świata UNESCO;trudne
Geografia i Turystyka;Cuda Świata UNESCO;łatwe
Geografia i Turystyka;Flagi i Hymny;trudne
Geografia i Turystyka;Flagi i Hymny;łatwe
Geografia i Turystyka;Geologia i Wulkany;trudne
Geografia i Turystyka;Geologia i Wulkany;łatwe
Geografia i Turystyka;Góry Świata;trudne
Geografia i Turystyka;Góry Świata;łatwe
Geografia i Turystyka;Kontynenty i Oceany;trudne
Geografia i Turystyka;Kontynenty i Oceany;łatwe
Geografia i Turystyka;Mapy i Współrzędne;trudne
Geografia i Turystyka;Mapy i Współrzędne;łatwe
Geografia i Turystyka;Orientacja w terenie;trudne
Geografia i Turystyka;Orientacja w terenie;łatwe
