category;subcategory;question;level;correct;wrong1;wrong2;wrong3
Sport;Piłka Nożna - Ekstraklasa;Jaki legendarny polski klub ma w swoim herbie charakterystyczną czarną 'eLkę'?;łatwe;Legia Warszawa;Lech Poznań;ŁKS Łódź;Lechia Gdańsk
Sport;Piłka Nożna - Ekstraklasa;Która ekipa polskiej Ekstraklasy rozgrywa swoje domowe mecze na stadionie przy ulicy Bułgarskiej?;łatwe;Lech Poznań;Wisła Kraków;Jagiellonia Białystok;Śląsk Wrocław
Sport;Piłka Nożna - Ekstraklasa;Jak potocznie w Polsce określa się bezpardonowe mecze derbowe między Wisłą Kraków a Cracovią?;łatwe;Święta Wojna;Wielkie Derby Śląska;Bitwa o Małopolskę;Derby Królów
Sport;Piłka Nożna - Ekstraklasa;Który zasłużony klub z Górnego Śląska sięgał po mistrzostwo Polski aż 14 razy (stan na 2023 r.)?;łatwe;Górnik Zabrze;Pogoń Szczecin;Zagłębie Lubin;Korona Kielce
Sport;Piłka Nożna - Ekstraklasa;Jakie polskie miasto reprezentuje drużyna Jagiellonii, która zdobyła mistrza w sezonie 23/24?;łatwe;Białystok;Lublin;Rzeszów;Olsztyn
Sport;Reprezentacja Polski;Kto z dumą nosi tytuł absolutnie najlepszego strzelca w historii piłkarskiej reprezentacji Polski?;łatwe;Robert Lewandowski;Włodzimierz Lubański;Grzegorz Lato;Zbigniew Boniek
Sport;Reprezentacja Polski;Który 'trener tysiąclecia' poprowadził reprezentację do słynnego remisu na Wembley w 1973 roku?;łatwe;Kazimierz Górski;Antoni Piechniczek;Jacek Gmoch;Adam Nawałka
Sport;Reprezentacja Polski;Jakie najwyższe historyczne miejsce zajęli Polacy na mundialach (1974 oraz 1982 r.)?;łatwe;Trzecie miejsce;Drugie miejsce;Czwarte miejsce;Zwycięstwo (Pierwsze)
Sport;Reprezentacja Polski;Jaki wybitny polski bramkarz widowiskowo obronił karnego Lionela Messiego na Mundialu 2022?;łatwe;Wojciech Szczęsny;Łukasz Fabiański;Artur Boruc;Jerzy Dudek
Sport;Reprezentacja Polski;Z jakim państwem Polska zorganizowała piłkarskie Mistrzostwa Europy w 2012 roku?;łatwe;Z Ukrainą;Z Niemcami;Z Czechami;Ze Słowacją
