category;subcategory;question;level;correct;wrong1;wrong2;wrong3
Muzyka;Fryderyk Chopin i Klasyka;W jakiej podwarszawskiej miejscowości w 1810 roku urodził się Fryderyk Chopin?;łatwe;W Żelazowej Woli;W Radzyminie;W Sulejówku;W Otwocku
Muzyka;Fryderyk Chopin i Klasyka;Dla jakiego instrumentu Fryderyk Chopin skomponował większość swoich znakomitych dzieł?;łatwe;Dla fortepianu;Dla skrzypiec;Dla wiolonczeli;Dla organów
Muzyka;Fryderyk Chopin i Klasyka;Co odbywa się w Warszawie co 5 lat i przyciąga pianistów z całego świata?;łatwe;Konkurs Chopinowski;Konkurs Wieniawskiego;Festiwal Beethovenowski;Warszawska Jesień
Muzyka;Fryderyk Chopin i Klasyka;Kto skomponował operę 'Czarodziejski flet' oraz monumentalne i niedokończone 'Requiem'?;łatwe;Wolfgang Amadeus Mozart;Ludwig van Beethoven;Johann Sebastian Bach;Antonio Vivaldi
Muzyka;Fryderyk Chopin i Klasyka;Jaki włoski wirtuoz jest autorem słynnego cyklu koncertów skrzypcowych 'Cztery pory roku'?;łatwe;Antonio Vivaldi;Johann Strauss;Piotr Czajkowski;Niccolò Paganini
Muzyka;Polski Rock;Kto był legendarnym, wieloletnim wokalistą bluesrockowego zespołu Dżem?;łatwe;Ryszard Riedel;Marek Piekarczyk;Grzegorz Markowski;Krzysztof Cugowski
Muzyka;Polski Rock;Z jakiego polskiego miasta wywodzi się poprockowy zespół T.Love pod wodzą Muńka Staszczyka?;łatwe;Z Częstochowy;Z Warszawy;Z Krakowa;Z Katowic
Muzyka;Polski Rock;Jaki znany polski zespół nagrał kultowy 'hymn pokoleń' pt. 'Autobiografia'?;łatwe;Perfect;Lady Pank;Republika;Maanam
Muzyka;Polski Rock;Kto był charyzmatycznym wokalistą, twórcą tekstów i liderem zespołu Republika?;łatwe;Grzegorz Ciechowski;Tomasz Lipiński;Robert Gawliński;Paweł Kukiz
Muzyka;Polski Rock;Jak miała na imię niezwykle wyrazista, ikoniczna wokalistka zespołu Maanam?;łatwe;Kora (Olga Jackowska);Kasia Kowalska;Edyta Bartosiewicz;Agnieszka Chylińska
Muzyka;Disco Polo i Biesiada;Która grupa muzyczna odpowiedzialna jest za wielki hit dyskotek 'Ona tańczy dla mnie'?;łatwe;Weekend;Boys;Milano;Bayer Full
Muzyka;Disco Polo i Biesiada;Jaki znany zespół pod wodzą Marcina Millera wykonuje słynny szlagier 'Jesteś szalona'?;łatwe;Boys;Classic;Akcent;Top One
Muzyka;Disco Polo i Biesiada;Jak potocznie określa się rodzimy nurt polskiej muzyki tanecznej, popularny na weselach?;łatwe;Disco polo;Polo pop;Biesiada polska;Dance music
Muzyka;Disco Polo i Biesiada;Z jakiej znanej, tradycyjnej pieśni biesiadnej pochodzą słowa: 'kto w styczniu urodzony jest...'?;łatwe;Pije Kuba do Jakuba;Szła dzieweczka do laseczka;Hej sokoły;Góralu czy ci nie żal
Muzyka;Światowy Pop;Który wybitny artysta przez dekady nosił dumnie tytuł 'Króla Popu'?;łatwe;Michael Jackson;Elvis Presley;Prince;George Michael
Muzyka;Światowy Pop;Jaka światowa gwiazda wylansowała wielkie hity takie jak 'Like a Virgin' i 'Material Girl'?;łatwe;Madonna;Whitney Houston;Mariah Carey;Celine Dion
Muzyka;Światowy Pop;Który z brytyjskich piosenkarzy i kompozytorów zaśpiewał w 2017 r. wielki hit 'Shape of You'?;łatwe;Ed Sheeran;Harry Styles;Justin Bieber;Shawn Mendes
Muzyka;Światowy Pop;Jak nazywa się kolumbijska piosenkarka, która wykonała hymn mundialu w 2010 r., utwór 'Waka Waka'?;łatwe;Shakira;Jennifer Lopez;Beyoncé;Rihanna
Muzyka;Światowy Pop;W skład jakiego znanego, amerykańskiego boysbandu wchodził Justin Timberlake?;łatwe;*NSYNC;Backstreet Boys;Take That;One Direction
Muzyka;Legendarne Zespoły;Jaki zespół z Liverpoolu na stałe zmienił muzykę pop m.in. z hitami 'Hey Jude' i 'Let It Be'?;łatwe;The Beatles;The Rolling Stones;The Who;Pink Floyd
Muzyka;Legendarne Zespoły;Kto był wybitnie charyzmatycznym wokalistą brytyjskiej grupy rockowej Queen?;łatwe;Freddie Mercury;Mick Jagger;Robert Plant;Axl Rose
Muzyka;Legendarne Zespoły;Jaki klasyczny rockowy zespół nagrał kultowy, rozbudowany utwór 'Stairway to Heaven'?;łatwe;Led Zeppelin;Black Sabbath;Deep Purple;The Doors
Muzyka;Legendarne Zespoły;Kurt Cobain był wokalistą jakiej przełomowej, amerykańskiej grupy grunge'owej?;łatwe;Nirvana;Pearl Jam;Alice in Chains;Soundgarden
Muzyka;Legendarne Zespoły;Jak nazywa się ikoniczna, szwedzka grupa popowa z lat 70., która podbiła świat hitem 'Waterloo'?;łatwe;ABBA;Roxette;Ace of Base;Europe
Muzyka;Festiwal w Opolu i Sopocie;W jakim obiekcie tradycyjnie od 1963 roku odbywa się Krajowy Festiwal Piosenki Polskiej?;łatwe;W Amfiteatrze Tysiąclecia w Opolu;W Operze Leśnej;Na Stadionie Narodowym;W Spodku
Muzyka;Festiwal w Opolu i Sopocie;W jakim specyficznym miejscu w Sopocie mieści się duża, otwarta scena letnich festiwali?;łatwe;W Operze Leśnej;W Amfiteatrze Kadzielnia;W Hali Stulecia;Na Sopockim Molo
Muzyka;Festiwal w Opolu i Sopocie;Która prestiżowa nagroda jest głównym trofeum na opolskim koncercie debiutów i premier?;łatwe;Karolinka;Bursztynowy Słowik;Złoty Mikrofon;Statuetka Fryderyka
Muzyka;Festiwal w Opolu i Sopocie;Jakie cenne wyróżnienie często zdobywają główni zwycięzcy festiwalu w Sopocie?;łatwe;Bursztynowego Słowika;Złotą Lirę;Srebrnego Dzwonu;Złotą Płytę
Muzyka;Festiwal w Opolu i Sopocie;Kto wyśpiewał mroczny, poruszający utwór 'Dziwny jest ten świat', który wstrząsnął Opolem?;łatwe;Czesław Niemen;Marek Grechuta;Stan Borys;Krzysztof Krawczyk
Muzyka;Konkurs Eurowizji;Jaki zespół zajął historyczne 1. miejsce dla Szwecji w 1974 r. z rytmiczną piosenką 'Waterloo'?;łatwe;ABBA;Roxette;The Cardigans;Ace of Base
Muzyka;Konkurs Eurowizji;W którym roku piosenkarka Edyta Górniak zajęła aż 2. miejsce z hitem 'To nie ja!'?;łatwe;W 1994 r.;W 1998 r.;W 2003 r.;W 1990 r.
Muzyka;Konkurs Eurowizji;Kto z Polski pojechał na konkurs Eurowizji w 2014 roku z przaśnym utworem 'My Słowianie'?;łatwe;Donatan i Cleo;Ich Troje;Tulia;Michał Szpak
Muzyka;Konkurs Eurowizji;W jakim kraju gościnnie odbyła się Eurowizja w 2023 r., zorganizowana w imieniu Ukrainy?;łatwe;W Wielkiej Brytanii;W Szwecji;W Niemczech;We Włoszech
Muzyka;Konkurs Eurowizji;Która współczesna szwedzka artystka zdołała wygrać Konkurs Eurowizji aż dwukrotnie?;łatwe;Loreen;Carola;Mans Zelmerlow;Helena Paparizou
Muzyka;Hip-hop i Rap (Polska);Jaki warszawski skład hip-hopowy wydał przełomowy dla kultury ulicznej album 'Skandal' w 1998 r.?;łatwe;Molesta Ewenement;Paktofonika;Kaliber 44;Slums Attack
Muzyka;Hip-hop i Rap (Polska);Kto jest założycielem dużej marki Prosto i raperem znanym z takich zespołów jak ZIP Skład czy WWO?;łatwe;Sokół;Tede;Pezet;O.S.T.R.
Muzyka;Hip-hop i Rap (Polska);O trudnej historii jakiego śląskiego składu rapowego opowiada głośny film 'Jesteś Bogiem'?;łatwe;O Paktofonice;O Kalibrze 44;O Pokahontaz;O zespole 3xKlan
Muzyka;Hip-hop i Rap (Polska);Jak nazywa się popularny łódzki raper i producent, który jest wykształconym wirtuozem skrzypiec?;łatwe;O.S.T.R.;Zeus;Tede;Peja
Muzyka;Hip-hop i Rap (Polska);Który znany warszawski raper we wczesnych latach 00. stworzył genialny duet z producentem Noonem?;łatwe;Pezet;Onar;Ten Typ Mes;Sokół
Muzyka;Jazz i Blues;Jaki słynny na cały świat czarnoskóry muzyk zasłynął pełnym ciepła utworem 'What a Wonderful World'?;łatwe;Louis Armstrong;Miles Davis;John Coltrane;Charlie Parker
Muzyka;Jazz i Blues;Jak nazywał się genialny polski kompozytor muzyki jazzowej i filmowej (m.in. do 'Dziecka Rosemary')?;łatwe;Krzysztof Komeda;Michał Urbaniak;Tomasz Stańko;Leszek Możdżer
Muzyka;Jazz i Blues;Kto z amerykańskich muzyków nosił tytuł 'Króla Bluesa' i grał na gitarze o nazwie 'Lucille'?;łatwe;B.B. King;Muddy Waters;Eric Clapton;Chuck Berry
Muzyka;Jazz i Blues;Który współczesny muzyk z Polski to wybitny wirtuoz fortepianu jazzowego o międzynarodowej sławie?;łatwe;Leszek Możdżer;Tomasz Stańko;Jan Ptaszyn Wróblewski;Zbigniew Namysłowski
Muzyka;Jazz i Blues;Jakie miasto na południu USA na ogół uważane jest za główną, historyczną kolebkę muzyki jazzowej?;łatwe;Nowy Orlean;Chicago;Nowy Jork;Memphis
Muzyka;Teksty Piosenek;Dokończ słowa wielkiego hitu Budki Suflera: 'Znowu w życiu mi nie wyszło, uciec...'?;łatwe;...chciałem dokądkolwiek;...muszę przed siebie;...chciałem w nieznane;...pragnę stąd szybko
Muzyka;Teksty Piosenek;Jak brzmi wers piosenki Maanamu: 'Czekam na wiatr co rozgoni...'?;łatwe;...ciemne skłębione zasłony;...czarne burzowe chmury;...mgłę co zasłania mi świat;...smutne myśli z mej głowy
Muzyka;Teksty Piosenek;Kto śpiewał z humorem o dziewczynach: 'Baśka miała fajny biust, Ania styl, a Zośka coś...'?;łatwe;...co lubię;...czego brak;...w sobie;...co chciałem
Muzyka;Teksty Piosenek;Jak Krzysztof Krawczyk dokończył frazę 'Chciałem być marynarzem...'?;łatwe;...chciałem mieć tatuaże;...chciałem pływać po świecie;...chciałem żeglować w dal;...chciałem statkiem sterować
Muzyka;Teksty Piosenek;Z jakiego poetyckiego utworu Marka Grechuty pochodzą słowa 'Ważne są tylko te dni, których...'?;łatwe;Dni, których nie znamy;Czas nas uczy pogody;Przeżyj to sam;Zegarmistrz światła
Muzyka;Instrumenty Muzyczne;Do jakiej podstawowej grupy instrumentów należą klasyczne skrzypce?;łatwe;Smyczkowe;Dęte blaszane;Szarpane;Klawiszowe
Muzyka;Instrumenty Muzyczne;Ile strun posiada tradycyjna gitara klasyczna i akustyczna?;łatwe;6;4;5;8
Muzyka;Instrumenty Muzyczne;Na jakim klawiszowym instrumencie swoje wielkie dzieła tworzył Fryderyk Chopin?;łatwe;Na fortepianie;Na akordeonie;Na organach;Na harfie
Muzyka;Instrumenty Muzyczne;Jaki mały, strunowy instrument pochodzi z Hawajów i wyglądem przypomina miniaturową gitarę?;łatwe;Ukulele;Mandolina;Bałałajka;Banjo
Muzyka;Instrumenty Muzyczne;Z jakiego instrumentu słynął na całym świecie genialny wokalista i muzyk Louis Armstrong?;łatwe;Z trąbki;Z saksofonu;Z klarnetu;Z puzonu
Muzyka;Muzyka Elektroniczna;Który francuski wirtuoz jest autorem kultowego albumu muzyki elektronicznej 'Oxygene'?;łatwe;Jean-Michel Jarre;David Guetta;DJ Snake;Vangelis
Muzyka;Muzyka Elektroniczna;Jak nazywał się uwielbiany szwedzki DJ i producent muzyczny, autor megahitu 'Wake Me Up'?;łatwe;Avicii;Kygo;Martin Garrix;Tiësto
Muzyka;Muzyka Elektroniczna;Jaki francuski duet elektroniczny przez dekady ukrywał twarze pod futurystycznymi hełmami?;łatwe;Daft Punk;Justice;The Chemical Brothers;Disclosure
Muzyka;Muzyka Elektroniczna;Jak nazywa się potężny i bajkowy festiwal muzyki elektronicznej organizowany w belgijskim Boom?;łatwe;Tomorrowland;Ultra Music Festival;Creamfields;Mayday
Muzyka;Muzyka Elektroniczna;Z jakiego europejskiego kraju wywodzi się zespół Kraftwerk, absolutni pionierzy elektro?;łatwe;Z Niemiec;Z Francji;Z Wielkiej Brytanii;Ze Szwecji
Muzyka;Wielkie Gwiazdy Estrady;Kto wylansował ponadczasowe przeboje, takie jak 'My Way' czy 'Fly Me to the Moon'?;łatwe;Frank Sinatra;Dean Martin;Elvis Presley;Tony Bennett
Muzyka;Wielkie Gwiazdy Estrady;Jaka artystka wyśpiewała potężny utwór 'I Will Always Love You' do filmu 'Bodyguard'?;łatwe;Whitney Houston;Mariah Carey;Celine Dion;Tina Turner
Muzyka;Wielkie Gwiazdy Estrady;Który piosenkarz o znakomitym głosie śpiewał: 'Zacznij od Bacha' i grał na skrzypcach?;łatwe;Zbigniew Wodecki;Krzysztof Krawczyk;Andrzej Zaucha;Ryszard Rynkowski
Muzyka;Wielkie Gwiazdy Estrady;Jaką amerykańską piosenkarkę, autorkę przebojów 'Poker Face' i 'Bad Romance', zwą Mother Monster?;łatwe;Lady Gaga;Katy Perry;Rihanna;Taylor Swift
Muzyka;Wielkie Gwiazdy Estrady;Który polski wokalista nagrał takie przeboje jak 'Parostatek' czy 'Chciałem być'?;łatwe;Krzysztof Krawczyk;Jerzy Połomski;Zbigniew Wodecki;Stan Borys
Muzyka;Teledyski i MTV;Jaki przełomowy teledysk Michaela Jacksona z lat 80. był reżyserowany jak krótkometrażowy horror?;łatwe;Thriller;Bad;Billie Jean;Beat It
Muzyka;Teledyski i MTV;Jaka światowa stacja muzyczna rozpoczęła swoje pierwsze nadawanie w 1981 roku?;łatwe;MTV;VIVA;VH1;4fun.tv
Muzyka;Teledyski i MTV;Kto w kontrowersyjnym teledysku do piosenki 'Like a Prayer' tańczył na tle płonących krzyży?;łatwe;Madonna;Cher;Britney Spears;Christina Aguilera
Muzyka;Teledyski i MTV;Jaki był absolutnie pierwszy, symboliczny teledysk wyemitowany w historii stacji MTV?;łatwe;Video Killed the Radio Star (The Buggles);Money for Nothing (Dire Straits);Thriller (Michael Jackson);Take On Me (a-ha)
Muzyka;Teledyski i MTV;W jakim teledysku zespołu a-ha z 1985 roku połączono niesamowitą animację ze światem realnym?;łatwe;Take On Me;The Sun Always Shines on T.V.;Hunting High and Low;Cry Wolf
Muzyka;Polska Muzyka Alternatywna;Kto jest twórcą wielkich, alternatywno-popowych hitów z albumu 'Małomiasteczkowy'?;łatwe;Dawid Podsiadło;Krzysztof Zalewski;Kortez;Ralph Kaminski
Muzyka;Polska Muzyka Alternatywna;Jaki ekstrawagancki i barwny artysta nagrał całą płytę będącą hołdem dla piosenek Kory?;łatwe;Ralph Kaminski;Michał Szpak;Dawid Kwiatkowski;Igor Herbut
Muzyka;Polska Muzyka Alternatywna;Pod jakim szyldem artystycznym występuje Katarzyna Nosowska po zawieszeniu działalności Hey?;łatwe;Nosowska;Kaśka Sochacka;Daria Zawiałow;Mery Spolsky
Muzyka;Polska Muzyka Alternatywna;Z jakiego docenianego alternatywnego zespołu rockowego w 2012 roku odszedł Artur Rojek?;łatwe;Myslovitz;Lenny Valentino;Coma;happysad
Muzyka;Polska Muzyka Alternatywna;Jaki znany marka piwa od ponad dekady jest głównym sponsorem trasy 'Męskie Granie'?;łatwe;Żywiec;Tyskie;Okocim;Lech
Muzyka;Hymny i Pieśni Patriotyczne;W jakim włoskim mieście Józef Wybicki napisał oryginalne słowa Mazurka Dąbrowskiego?;łatwe;W Reggio nell'Emilia;W Rzymie;W Neapolu;W Wenecji
Muzyka;Hymny i Pieśni Patriotyczne;Kto jest autorką potężnego wiersza 'Rota', stanowiącego nieoficjalny hymn Polski?;łatwe;Maria Konopnicka;Wisława Szymborska;Eliza Orzeszkowa;Zofia Nałkowska
Muzyka;Hymny i Pieśni Patriotyczne;O jakim kwiatach pod Monte Cassino mówi słynna pieśń upamiętniająca tamtejszą bitwę?;łatwe;O czerwonych makach;O białych różach;O polnych chabrach;O wiosennych bzach
Muzyka;Hymny i Pieśni Patriotyczne;Jaką dawną, maryjną pieśń śpiewali polscy rycerze przed bitwą pod Grunwaldem?;łatwe;Bogurodzicę;Gaude Mater Polonia;Rotę;Marsz Pierwszej Brygady
Muzyka;Hymny i Pieśni Patriotyczne;Jak zaczyna się pieśń będąca nieformalnym hymnem Powstania Warszawskiego?;łatwe;Warszawskie dzieci, pójdziemy w bój;Hej, chłopcy, bagnet na broń;Pałacyk Michla, Żytnia, Wola;Deszcz jesienny, deszcz
Muzyka;Disco Polo i Biesiada;Z jakiego miasta pochodzi kultowy zespół disco polo Boys?;trudne;Z Torunia;Z Białegostoku;Z Rzeszowa;Z Częstochowy
Muzyka;Festiwal w Opolu i Sopocie;W którym roku odbył się po raz pierwszy Krajowy Festiwal Piosenki Polskiej w Opolu?;trudne;W 1963 roku;W 1960 roku;W 1965 roku;W 1970 roku
Muzyka;Fryderyk Chopin i Klasyka;W którym paryskim kościele w 1849 roku odbyły się uroczystości pogrzebowe Fryderyka Chopina?;trudne;W kościele Madeleine;W katedrze Notre-Dame de Paris;W bazylice Sacré-Cœur;W kościele Saint-Sulpice
Muzyka;Hip-hop i Rap (Polska);Jak brzmi prawdziwe imię i nazwisko rapera Pezeta?;trudne;Piotr Siejka;Piotr Wiśniewski;Paweł Grzesik;Przemysław Nowak
Muzyka;Hymny i Pieśni Patriotyczne;W którym włoskim mieście Józef Wybicki napisał w 1797 roku słowa Mazurka Dąbrowskiego?;trudne;W Reggio Emilia;W Mediolanie;W Turynie;W Wenecji
Muzyka;Instrumenty Muzyczne;Ile klawiszy (białych i czarnych łącznie) posiada standardowy fortepian koncertowy?;trudne;88;76;92;84
Muzyka;Jazz i Blues;Jak brzmi prawdziwe imię i nazwisko bluesowego muzyka scenicznie zwanego Muddy Waters?;trudne;McKinley Morganfield;Robert Johnson;Charles Berry;Willie Dixon
Muzyka;Konkurs Eurowizji;Na którym miejscu w finale Konkursu Piosenki Eurowizji 1994 w Dublinie zajęła Edyta Górniak?;trudne;Na 2. miejscu;Na 1. miejscu;Na 3. miejscu;Na 5. miejscu
Muzyka;Legendarne Zespoły;Ile albumów studyjnych nagrali The Beatles w latach 1963–1970?;trudne;13;10;12;15
Muzyka;Muzyka Elektroniczna;Jak nazywa się album Daft Punk z 2001 roku, który zawiera przebój 'One More Time'?;trudne;Discovery;Homework;Human After All;Random Access Memories
Muzyka;Polska Muzyka Alternatywna;W którym roku zespół Kult wydał swój debiutancki album?;trudne;W 1986 roku;W 1983 roku;W 1989 roku;W 1991 roku
Muzyka;Polski Rock;W którym roku założono kultową polską grupę rockową Breakout?;trudne;W 1968 roku;W 1965 roku;W 1971 roku;W 1973 roku
Muzyka;Teksty Piosenek;Jakie słowa kończą refren piosenki Marka Grechuty 'Tańcz, głuptasie'?;trudne;póki możesz tańczyć;i śpiewaj razem z nami;bo życie jest krótkie jak sen;nim skończy się ta noc
Muzyka;Teledyski i MTV;Jaki był pierwszy teledysk wyemitowany przez stację MTV w dniu jej premiery, 1 sierpnia 1981 roku?;trudne;"""Video Killed the Radio Star"" The Buggles";"""Thriller"" Michaela Jacksona";"""Like a Virgin"" Madonny";"""Bohemian Rhapsody"" Queen"
Muzyka;Wielkie Gwiazdy Estrady;Jak brzmi prawdziwe imię i nazwisko piosenkarki Tiny Turner?;trudne;Anna Mae Bullock;Tina Annette Brown;Annie Mae Johnson;Tina Louise Turner
Muzyka;Światowy Pop;Jak brzmi pełne prawdziwe imię i nazwisko artystki scenicznej Lady Gaga?;trudne;Stefani Joanne Angelina Germanotta;Stephanie Marie Germanotti;Stefania Gaga Romano;Joanna Stefani Germanotta
