category;subcategory;question;level;correct;wrong1;wrong2;wrong3
Technologie i IT;Historia Komputerów;Jak nazywał się ogromny, ważący 27 ton pierwszy uniwersalny komputer elektroniczny, stworzony w USA w 1945 r.?;łatwe;ENIAC;Odra;Colossus;Z3
Technologie i IT;Historia Komputerów;Kto w czasie II wojny światowej złamał kod Enigmy (przy udziale Polaków) i stworzył koncepcję uniwersalnej maszyny obliczeniowej?;łatwe;Alan Turing;Steve Jobs;Bill Gates;Charles Babbage
Technologie i IT;Historia Komputerów;Kim była żyjąca w XIX w. Ada Lovelace, uważana dzisiaj w kręgach IT za niezwykle ważną pionierkę?;łatwe;Pierwszą w historii programistką;Wynalazczynią tranzystora;Stwórczynią myszki komputerowej;Projektantką maszyn do pisania
Technologie i IT;Historia Komputerów;Na jakim nowatorskim fizycznym elemencie oparte były nowoczesne komputery i elektronika, po wyparciu starych lamp elektronowych?;łatwe;Na tranzystorze;Na świetlówce;Na diodzie LED;Na przekaźniku pneumatycznym
Technologie i IT;Historia Komputerów;Jaka firma, znana dziś głównie z oprogramowania i PC, stworzyła w 1981 r. pierwszy niezwykle popularny mikrokomputer IBM PC?;łatwe;IBM;Apple;Microsoft;Commodore
Technologie i IT;Giganci Technologiczni;Kto wspólnie z Paulem Allenem założył ogromną, software'ową potęgę - firmę Microsoft?;łatwe;Bill Gates;Steve Jobs;Larry Page;Mark Zuckerberg
Technologie i IT;Giganci Technologiczni;Jak nazywał się legendarny wizjoner w czarnym golfie, który odpowiadał za sukces firmy Apple (iPod, iPhone, Mac)?;łatwe;Steve Jobs;Steve Wozniak;Tim Cook;Elon Musk
Technologie i IT;Giganci Technologiczni;Czym oryginalnie na samym początku zajmował się zaistniały w garażu portal Google?;łatwe;Był wyłącznie wyszukiwarką internetową;Sprzedawał książki online;Tworzył systemy operacyjne dla PC;Produkował telefony komórkowe
Technologie i IT;Giganci Technologiczni;Jak pierwotnie, zaczynając z wielkim sukcesem od sprzedaży książek, rozwinął się dzisiejszy globalny sklep Jeffa Bezosa?;łatwe;Amazon;eBay;Alibaba;Walmart
Technologie i IT;Giganci Technologiczni;Do którego giganta technologicznego w pełni należą platformy takie jak Instagram i WhatsApp?;łatwe;Do firmy Meta (dawniej Facebook);Do firmy Alphabet (Google);Do firmy Apple;Do firmy X (dawniej Twitter)
Technologie i IT;Internet i WWW;Kto w instytucie CERN w 1989 roku oficjalnie wynalazł i zdefiniował sieć WWW (World Wide Web)?;łatwe;Tim Berners-Lee;Vint Cerf;Linus Torvalds;Al Gore
Technologie i IT;Internet i WWW;Jak nazywa się unikalny adres sieciowy urządzenia lub serwera w Internecie, najczęściej w formacie np. 192.168.0.1?;łatwe;Adres IP;Adres MAC;Domena WWW;Kod PIN
Technologie i IT;Internet i WWW;W jakim uniwersalnym języku znaczników stworzona jest graficznie na ekranie każda przeciętna i standardowa strona internetowa?;łatwe;W języku HTML;W języku C++;W języku Python;W asemblerze
Technologie i IT;Internet i WWW;Czym w budowie nazwy dowolnego serwisu internetowego jest np. końcówka '.pl' lub '.com'?;łatwe;Domeną najwyższego poziomu;Adresem protokołu serwera;Tagiem geolokalizacji sprzętu;Kodem błędu przekierowania
Technologie i IT;Media Społecznościowe;Który portal stworzony przez Marka Zuckerberga w akademiku na Harvardzie w 2004 roku stał się globalnym gigantem społecznościowym?;łatwe;Facebook;MySpace;Instagram;LinkedIn
Technologie i IT;Media Społecznościowe;Na jakim znanym i najpopularniejszym portalu wideo dominuje ogromna rzesza twórców internetowych zwanych 'Youtuberami'?;łatwe;Na YouTube;Na Twitchu;Na Vimeo;Na TikToku
Technologie i IT;Media Społecznościowe;Jaką literą i nazwą ochrzczono potężną platformę mikroblogową (dawniej z niebieskim ptaszkiem) po zakupie przez Elona Muska?;łatwe;Platformą X;Platformą Y;Platformą Z;Odysee
Technologie i IT;Media Społecznościowe;Która chińska aplikacja dla młodzieży wywołała na całym świecie absolutny szał na krótkie i chwytliwe formaty wideo (tzw. rolki)?;łatwe;TikTok;Snapchat;WhatsApp;Discord
Technologie i IT;Media Społecznościowe;Jaki specjalistyczny, niebieski portal społecznościowy służy od zawsze do nawiązywania przydatnych i karierowych kontaktów biznesowych?;łatwe;LinkedIn;Pinterest;Reddit;Tumblr
Technologie i IT;Sprzęt Komputerowy (Hardware);Jaki drobny podzespół zwany powszechnie krzemowym i obliczeniowym 'mózgiem', odpowiada w PC za wykonywanie głównych instrukcji?;łatwe;Procesor (CPU);Karta graficzna;Pamięć RAM;Dysk twardy
