polish,english,type,level
PIN,pin,rzeczownik,B1
absolutnie,absolutely,przysłówek,B1
absolutny,absolute,przymiotnik,B2
absolwent,graduate,rzeczownik,B1
ach,ah,wykrzyknik,A2
administracja,administration,rzeczownik,B2
adoptować,adopt,czasownik,B2
adres,address,rzeczownik,A1
adresować,address,czasownik,B2
afisz,poster,rzeczownik,A2
agencja,agency,rzeczownik,B2
agent,agent,rzeczownik,B1
agresywny,"aggressive, violent",przymiotnik,B2
akademicki,academic,przymiotnik,B1
akapit,paragraph,rzeczownik,A1
akcent,stress,rzeczownik,A2
akcentować,emphasize,czasownik,B2
akceptować,accept,czasownik,A2
akcja,"action, share",rzeczownik,A1
akcje (na giełdzie),stock,rzeczownik,B2
akt,act,rzeczownik,B1
aktor,actor,rzeczownik,A1
aktorka,actress,rzeczownik,A1
aktualizacja,update,rzeczownik,B1
aktualizować,update,czasownik,B1
aktualnie,currently,przysłówek,B1
aktualny,current,przymiotnik,B1
aktywność,activity,rzeczownik,A1
aktywny,active,przymiotnik,A2
akumulator,battery,rzeczownik,B1
alarm,alarm,rzeczownik,B1
alarmować,alarm,czasownik,B2
albo,or,spójnik,A1
album,album,rzeczownik,B1
ale,but,spójnik,A1
alkohol,alcohol,rzeczownik,B1
alkohol (wysokoprocentowy),spirit,rzeczownik,B1
alkoholowy,alcoholic,przymiotnik,B1
alternatywa,alternative,rzeczownik,A2
alternatywny,alternative,przymiotnik,B1
ambicja,ambition,rzeczownik,B1
ambitny,ambitious,przymiotnik,B1
analiza,"analysis, research",rzeczownik,B1
analizować,analyse,czasownik,B1
angażować,involve,czasownik,A2
angażować (się),engage,czasownik,B2
ani,neither,przysłówek,B1
ani,nor,spójnik / przysłówek,B1
ankieta,survey,rzeczownik,A2
anulować,cancel,czasownik,B2
aparat,camera,rzeczownik,A1
apel,appeal,rzeczownik,B2
apelować,appeal,czasownik,B2
aplikacja,app,rzeczownik,A2
aprobata,approval,rzeczownik,B2
aranżacja,arrangement,rzeczownik,A2
aranżować,arrange,czasownik,A2
architekt,architect,rzeczownik,A2
architektura,architecture,rzeczownik,A2
aresztowanie,arrest,rzeczownik,B1
aresztować,arrest,czasownik,B1
argument,argument,rzeczownik,A2
argumentować,argue,czasownik,A2
arkusz,sheet,rzeczownik,A2
armia,army,rzeczownik,A2
artykuł,"article, item",rzeczownik,A1
artysta,artist,rzeczownik,A1
artystyczny,artistic,przymiotnik,B2
asortyment,range,rzeczownik,B1
aspekt,aspect,rzeczownik,B2
asystent,assistant,rzeczownik,A2
asystować,assist,czasownik,B1
atak,attack,rzeczownik,A2
atakować,attack,czasownik,A2
atmosfera,atmosphere,rzeczownik,B1
atrakcja,attraction,rzeczownik,B1
atrakcyjny,attractive,przymiotnik,A2
audycja,broadcast,rzeczownik,B2
autobus,bus,rzeczownik,A1
autokar,coach,rzeczownik,A2
autor,author,rzeczownik,A2
autorytet,authority,rzeczownik,B1
awansować,"advance, promote",czasownik,B2
aż do,"till, until",spójnik / przyimek,B1
aż tak,"that, this",przysłówek,B1
babcia,grandmother,rzeczownik,A1
badacz,researcher,rzeczownik,A2
badania naukowe,research,rzeczownik,A2
badanie,"examination, exploration, study, survey, test",rzeczownik,B2
badać,"examine, explore, investigate, research, study, survey",czasownik,B1
bagażnik,boot,rzeczownik,A1
bajka,tale,rzeczownik,B2
bakterie,bacteria,rzeczownik,B2
balansować,balance,czasownik,B1
banan,banana,rzeczownik,A1
bank,bank (money),rzeczownik,A1
banknot,note,rzeczownik,A1
bar,"bar, pub",rzeczownik,A2
bardziej,"further, more",przysłówek,B1
bardzo,"badly, deeply, highly, lot, much, very",przysłówek,A2
bariera,barrier,rzeczownik,B2
bark,shoulder,rzeczownik,A2
baseball,baseball,rzeczownik,A2
basen,pool,rzeczownik,A1
bateria,battery,rzeczownik,B1
bawełna,cotton,rzeczownik,B1
bawić się,play,czasownik,A1
baza,"base, basis",rzeczownik,B1
bać się,fear,czasownik,B1
bałagan,mess,rzeczownik,B1
bałaganić,mess,czasownik,B1
bańka,bubble,rzeczownik,B1
beletrystyka,fiction,rzeczownik,A2
benzyna,petrol,rzeczownik,A2
benzyna (AmE),gas,rzeczownik,A2
bez,without,przyimek,A1
bezpieczeństwo,"safety, security",rzeczownik,B1
bezpieczny,"safe, secure",przymiotnik,A2
bezpośredni,"direct, immediate",przymiotnik,A2
bezpośrednio,"direct, directly, right, straight",przysłówek,B1
bezrobocie,unemployment,rzeczownik,B1
bezrobotny,unemployed,przymiotnik,B1
biały,white,przymiotnik,A1
biblioteka,library,rzeczownik,A1
bieda,poverty,rzeczownik,B1
biedny,poor,przymiotnik,A1
bieg,run,rzeczownik,A2
biegacz,runner,rzeczownik,A2
biegaczka,runner,rzeczownik,A2
bieganie,running,rzeczownik,A2
biegać,run,czasownik,A1
biel,white,rzeczownik,A1
bielizna,underwear,rzeczownik,B1
bieżący,current,przymiotnik,B1
bilet,ticket,rzeczownik,A1
bilet w jedną stronę,single,rzeczownik,A2
biologia,biology,rzeczownik,A2
bitwa,battle,rzeczownik,B1
biurko,desk,rzeczownik,A1
biuro,office,rzeczownik,A1
biwakowanie,camping,rzeczownik,A2
biznes,business,rzeczownik,A1
biznesmen,businessman,rzeczownik,A2
bić,beat,czasownik,A2
biżuteria,jewellery,rzeczownik,A2
blady,pale,przymiotnik,B1
bliski,"close, near",przymiotnik,A2
blisko,near,przyimek,A1
blisko,"by, close, near, nearly",przysłówek,B1
