category;subcategory;question;level;correct;wrong1;wrong2;wrong3
Nauka i Odkrycia;Maria Skłodowska-Curie;Jakie dwa niebezpieczne, świecące pierwiastki odkryła polska noblistka Maria Skłodowska-Curie?;łatwe;Polon i rad;Uran i pluton;Cez i rubid;Tytan i rad
Nauka i Odkrycia;Maria Skłodowska-Curie;Z jakim zdolnym francuskim fizykiem wzięła ślub, by wspólnie w biedzie prowadzić badania?;łatwe;Z Piotrem Curie;Z Antoine'em Becquerelem;Z Ludwikiem Pasteurem;Z Albertem Einsteinem
Nauka i Odkrycia;Maria Skłodowska-Curie;Z jakim prestiżowym, paryskim uniwersytetem Skłodowska związała całą swą naukową karierę?;łatwe;Z Sorboną;Z Oxfordem;Z Cambridge;Z Harvardem
Nauka i Odkrycia;Maria Skłodowska-Curie;Na cześć jakiego kraju noblistka dumnie nadała nazwę pierwszemu ze swoich wielkich odkryć?;łatwe;Na cześć Polski;Na cześć Francji;Na cześć Rosji;Na cześć Grecji
Nauka i Odkrycia;Mikołaj Kopernik i Kosmos;Opracowanie jakiej odważnej i przewrotowej teorii przypisuje się Mikołajowi Kopernikowi?;łatwe;Teorii heliocentrycznej;Teorii geocentrycznej;Teorii względności;Teorii strun
Nauka i Odkrycia;Mikołaj Kopernik i Kosmos;Jak zatytułowano jego wiekopomne, epokowe dzieło, wydrukowane niedługo przed jego śmiercią?;łatwe;O obrotach sfer niebieskich;O budowie wszechświata;Matematyczne zasady;Kosmos i planety
Nauka i Odkrycia;Mikołaj Kopernik i Kosmos;W jakiej polskiej miejscowości Kopernik prowadził latami żmudne obserwacje na swojej wieży?;łatwe;We Fromborku;W Toruniu;W Krakowie;W Malborku
Nauka i Odkrycia;Mikołaj Kopernik i Kosmos;Które kujawsko-pomorskie miasto znane z pierników szczyci się tym, że urodził się tam Kopernik?;łatwe;Toruń;Bydgoszcz;Grudziądz;Włocławek
Nauka i Odkrycia;Mikołaj Kopernik i Kosmos;Jaką niespodziewaną i trudną profesją, obok samej astronomii, zajmował się zawodowo Kopernik?;łatwe;Był lekarzem i ekonomistą;Był królewskim kucharzem;Był płatnerzem;Był inkwizytorem
Nauka i Odkrycia;Układ Słoneczny;Która niewielka, skalista planeta krąży bezpośrednio, jako pierwsza, wokół centralnej gwiazdy?;łatwe;Merkury;Wenus;Ziemia;Mars
Nauka i Odkrycia;Układ Słoneczny;Jaka gigantyczna, ciężka i burzliwa planeta gazowa jest największa w naszym sąsiedztwie?;łatwe;Jowisz;Saturn;Uran;Neptun
Nauka i Odkrycia;Układ Słoneczny;Którą planetę w kosmosie nazywa się 'czerwoną', ze względu na zalegający, rdzawy tlenek żelaza?;łatwe;Marsa;Jowisza;Wenus;Plutona
Nauka i Odkrycia;Układ Słoneczny;Czym na pierwszy rzut oka wyróżnia się olbrzymi Saturn spośród pozostałych znanych planet?;łatwe;Rozbudowanym systemem pierścieni;Wielką Czerwoną Plamą;Najszybszym obrotem wokół własnej osi;Brakiem jakichkolwiek księżyców
Nauka i Odkrycia;Układ Słoneczny;Który dawniej pełnoprawny obiekt w 2006 roku stracił miano planety, stając się planetą karłowatą?;łatwe;Pluton;Eris;Makemake;Ceres
Nauka i Odkrycia;Anatomia Człowieka;Co stanowi najtwardszą, elastyczną strukturę wsporczą ciała, w której ukryty jest rdzeń kręgowy?;łatwe;Kręgosłup;Klatka piersiowa;Miednica;Czaszka
Nauka i Odkrycia;Anatomia Człowieka;Jaki specjalny narząd w ciele potrafi stale, miarowo, pompować utlenowaną krew do aorty?;łatwe;Serce;Wątroba;Płuco;Śledziona
Nauka i Odkrycia;Anatomia Człowieka;W jakiej solidnej, kostnej puszce skrywa się przed obrażeniami delikatna struktura ludzkiego mózgu?;łatwe;W mózgoczaszce;W trzewioczaszce;W żuchwie;W kręgach szyjnych
Nauka i Odkrycia;Anatomia Człowieka;Jaki silny mięsień w postaci kopuły bezpośrednio oddziela nasze płuca od jamy brzusznej?;łatwe;Przepona;Mięsień poprzeczny brzucha;Zwieracz;Krezka
Nauka i Odkrycia;Anatomia Człowieka;Gdzie zlokalizowana jest najgrubsza, najbardziej masywna i najdłuższa kość u dorosłego człowieka?;łatwe;W udzie (kość udowa);W przedramieniu;W plecach;W obojczyku
Nauka i Odkrycia;Tablica Mendelejewa;Jaki lekki i wszechobecny we wszechświecie gaz szczyci się numerem pierwszym na tablicy?;łatwe;Wodór;Hel;Tlen;Azot
Nauka i Odkrycia;Tablica Mendelejewa;Który wyjątkowy, błyszczący na srebrno metal w temperaturze pokojowej zawsze pozostaje w płynie?;łatwe;Rtęć;Gal;Ołów;Brom
Nauka i Odkrycia;Tablica Mendelejewa;Pod jaką pojedynczą, wymowną literą kryje się chemiczny znak cennego i życiodajnego tlenu?;łatwe;O;T;C;H
Nauka i Odkrycia;Tablica Mendelejewa;Kto w drugiej połowie XIX wieku jako pierwszy sensownie i metodycznie uporządkował pierwiastki?;łatwe;Dmitrij Mendelejew;Maria Skłodowska-Curie;Niels Bohr;Albert Einstein
Nauka i Odkrycia;Tablica Mendelejewa;Co symbolizuje w tablicy powszechnie uznany i pożądany, krótki, dwuliterowy skrót 'Au'?;łatwe;Złoto;Srebro;Platynę;Aluminium
Nauka i Odkrycia;Fizyka w Codzienności;Jaka niewidzialna, powszechna i niezwykle użyteczna siła sprawia, że rzucone jabłko spada na ziemię?;łatwe;Grawitacja;Tarcie;Bezwładność;Elektromagnetyzm
Nauka i Odkrycia;Fizyka w Codzienności;W jakich popularnych i domowych jednostkach pomiarowych wyraża się ogólne napięcie w gniazdkach?;łatwe;W woltach;W watach;W amperach;W omach
