Geografia i Turystyka;Afryka - Geografia i Przyroda;bardzo trudne;Jak nazywa się endemiczne drzewo Madagaskaru o charakterystycznym grubym pniu, zwane "drzewem życia"?;Baobab;Akacja;Eukaliptus;Puchowiec
Geografia i Turystyka;Afryka - Geografia i Przyroda;bardzo trudne;W którym państwie znajduje się Park Narodowy Krugera, jeden z największych rezerwatów w Afryce?;RPA;Kenia;Tanzania;Zimbabwe
Geografia i Turystyka;Afryka - Geografia i Przyroda;trudne;Jak nazywa się wielki rów tektoniczny ciągnący się przez wschodnią Afrykę?;Wielki Rów Afrykański;Rów Mariański;Dolina Śmierci;Rów Abisyński
Geografia i Turystyka;Afryka - Geografia i Przyroda;trudne;W którym państwie znajduje się Delta Okawango, największa na świecie delta śródlądowa?;Botswana;Namibia;RPA;Angola
Geografia i Turystyka;Afryka - Geografia i Przyroda;łatwe;Jak nazywa się największe zwierzę lądowe Afryki?;Słoń afrykański;Nosorożec;Hipopotam;Żyrafa
Geografia i Turystyka;Kontynenty i Regiony Świata;bardzo trudne;Jak nazywa się najbardziej na południe wysunięty przylądek Ameryki Południowej?;Horn;Froward;Branco;Parinas
Geografia i Turystyka;Kontynenty i Regiony Świata;bardzo trudne;Która rzeka w Ameryce Południowej ma największy przepływ wody na świecie?;Amazonka;Orinoko;Parana;Magdalena
Geografia i Turystyka;Kontynenty i Regiony Świata;trudne;Jak nazywa się najwyżej położone jezioro żeglowne świata, leżące w Andach?;Titicaca;Maracaibo;Poopó;Buenos Aires
Geografia i Turystyka;Kontynenty i Regiony Świata;trudne;W którym państwie znajduje się Salar de Uyuni – największe solnisko na świecie?;Boliwia;Chile;Argentyna;Paragwaj
Geografia i Turystyka;Kontynenty i Regiony Świata;łatwe;Jaki język jest urzędowy w Brazylii?;Portugalski;Hiszpański;Angielski;Francuski
Geografia i Turystyka;Architektura i Cuda Świata;bardzo trudne;Jak nazywa się monumentalny grobowiec w Agrze, wzniesiony przez Szahdżahana dla żony Mumtaz Mahal?;Taj Mahal;Hawa Mahal;Czerwony Fort;Lotusa
Geografia i Turystyka;Architektura i Cuda Świata;bardzo trudne;W którym państwie znajduje się kompleks zamkowy Himeji, zwany "Zamkiem Białej Czapli"?;Japonia;Korea Południowa;Chiny;Wietnam
Geografia i Turystyka;Architektura i Cuda Świata;trudne;Jak nazywa się słynna opera w Sydney, znana z dachu przypominającego żagle?;Sydney Opera House;Harbour Bridge;Royal Opera;The Shell
