category;subcategory;question;level;correct;wrong1;wrong2;wrong3
Rozrywka i Popkultura;Świat Harry'ego Pottera;Jak nazywała się słynna, magiczna brytyjska szkoła ukryta w zamku, do której uczęszczał nastoletni Harry Potter?;łatwe;Hogwart;Durmstrang;Beauxbatons;Ilvermorny
Rozrywka i Popkultura;Świat Harry'ego Pottera;Jak miał na imię główny i najpotężniejszy, pozbawiony nosa czarnoksiężnik (Sami-Wiecie-Kto), z którym walczył Harry?;łatwe;Lord Voldemort;Gellert Grindelwald;Lucjusz Malfoy;Severus Snape
Rozrywka i Popkultura;Świat Harry'ego Pottera;Jaki magiczny, niesamowicie szybki sport, rozgrywany wysoko w powietrzu na latających miotłach, uwielbiali czarodzieje?;łatwe;Quidditch;Siatkówka bagienna;Szachy czarodziejów;Polo na hipogryfach
Rozrywka i Popkultura;Świat Harry'ego Pottera;Kto napisał całą genialną i bestsellerową, wielotomową serię powieści o przygodach Harry'ego Pottera?;łatwe;J.K. Rowling;Stephen King;J.R.R. Tolkien;George R.R. Martin
Rozrywka i Popkultura;Świat Harry'ego Pottera;Jak miał na imię wierny i uroczy, wyzwolony za pomocą małej skarpetki skrzat domowy z wielkimi uszami?;łatwe;Zgredek (Dobby);Stworek;Mrużka;Krzywołap
Rozrywka i Popkultura;Gwiezdne Wojny;Jakie kultowe, ciężko oddychające w masce i ubrane na czarno nazwisko nosił Anakin Skywalker po przejściu na Ciemną Stronę Mocy?;łatwe;Darth Vader;Imperator Palpatine;Kylo Ren;Hrabia Dooku
Rozrywka i Popkultura;Gwiezdne Wojny;Czym w świecie Jedi jest słynny na cały wszechświat miecz, potrafiący przeciąć niemal wszystko, posiadający różne kolory klingi?;łatwe;Mieczem świetlnym;Mieczem laserowym;Ostrzem plazmowym;Złotym Excaliburem
Rozrywka i Popkultura;Gwiezdne Wojny;Kto oryginalnie stworzył, wyreżyserował i zapoczątkował całą gigantyczną franczyzę filmową 'Gwiezdnych Wojen' w 1977 roku?;łatwe;George Lucas;Steven Spielberg;James Cameron;J.J. Abrams
Rozrywka i Popkultura;Gwiezdne Wojny;Jak nazywał się legendarny i bardzo zwinny statek kosmiczny pilotowany sprawnie przez Hana Solo oraz Chewbaccę?;łatwe;Sokół Millennium;Niszczyciel Gwiazd;X-Wing;Gwiazda Śmierci
Rozrywka i Popkultura;Gwiezdne Wojny;Jak miał na imię niski, mądry, bardzo stary i zielony Mistrz Jedi, słynący z bardzo specyficznego, przestawnego szyku zdań?;łatwe;Yoda;Obi-Wan Kenobi;Qui-Gon Jinn;Mace Windu
Rozrywka i Popkultura;Komiksy Marvela;Który bystry nastolatek z Nowego Jorku zyskał pajęcze supermoce, gdy w laboratorium ugryzł go zmutowany pająk?;łatwe;Peter Parker (Spider-Man);Tony Stark;Bruce Banner;Steve Rogers
Rozrywka i Popkultura;Komiksy Marvela;Jak zwała się drużyna najpotężniejszych bohaterów Ziemi, zrzeszająca m.in. Iron Mana, Hulka, Thora oraz Kapitana Amerykę?;łatwe;Avengers (Mściciele);X-Men;Fantastyczna Czwórka;Strażnicy Galaktyki
Rozrywka i Popkultura;Komiksy Marvela;Który znany, fioletowy i obsesyjny superzłoczyńca zapragnął zniszczyć połowę życia we wszechświecie przy użyciu Kamieni Nieskończoności?;łatwe;Thanos;Ultron;Loki;Galactus
